Time,Icc,Pm,Vwind,D,Pout,Vcc,S1.Pm,S1.Cp,S1.pitch,S1.v_ms,S1.lambda,S1.RPM,S1.rad_s,S1.torque
0.001,-3.59535e-006,0,75.6,0.00018,0,23.9957,1.02177,0.00573375,15,21,0,0,0,0
0.002,-3.5989e-006,0.452545,75.6,0.00036,-6.75216e-009,23.9914,19.5184,0.109529,15,21,2.70791,5430.31,568.661,0.000795808
0.003,-3.58824e-006,1.42306,75.6,0.00054,-2.6882e-008,23.987,19.546,0.109684,15,21,2.70938,5433.26,568.97,0.00250111
0.004,-3.59179e-006,1.4894,75.6,0.00072,-6.01505e-008,23.9827,19.6028,0.110003,15,21,2.7124,5439.32,569.604,0.0026148
0.005,-3.58469e-006,1.49106,75.6,0.0009,-1.06334e-007,23.9784,19.6598,0.110323,15,21,2.71543,5445.39,570.24,0.0026148
0.006,-3.58469e-006,1.49273,75.6,0.00108,-1.65192e-007,23.9741,19.717,0.110644,15,21,2.71846,5451.47,570.876,0.0026148
0.007,-3.59535e-006,1.49439,75.6,0.00126,-2.36478e-007,23.9698,19.7745,0.110966,15,21,2.72149,5457.56,571.514,0.0026148
0.008,-3.58824e-006,1.49606,75.6,0.00144,-3.19967e-007,23.9654,19.8323,0.11129,15,21,2.72453,5463.66,572.153,0.0026148
0.009,-3.58114e-006,1.49774,75.6,0.00162,-4.15426e-007,23.9611,19.8902,0.111616,15,21,2.72758,5469.77,572.793,0.0026148
0.01,-3.58824e-006,1.49941,75.6,0.0018,-5.22628e-007,23.9568,19.9485,0.111942,15,21,2.73064,5475.89,573.434,0.0026148
0.011,-3.58469e-006,1.50109,75.6,0.00198,-6.41349e-007,23.9525,20.0069,0.11227,15,21,2.73369,5482.02,574.076,0.0026148
0.012,-3.58824e-006,1.50278,75.6,0.00216,-7.71347e-007,23.9482,20.0656,0.1126,15,21,2.73676,5488.17,574.72,0.0026148
0.013,-3.58469e-006,1.50446,75.6,0.00234,-9.12396e-007,23.9438,20.1246,0.112931,15,21,2.73983,5494.32,575.364,0.0026148
0.014,-3.58824e-006,1.57163,75.6,0.00252,-1.06428e-006,23.9395,20.1838,0.113263,15,21,2.7429,5500.49,576.01,0.00272848
0.015,-3.58824e-006,1.50784,75.6,0.0027,-1.22679e-006,23.9352,20.2433,0.113597,15,21,2.74598,5506.67,576.657,0.0026148
0.016,-3.58469e-006,1.50954,75.6,0.00288,-1.39971e-006,23.9309,20.303,0.113932,15,21,2.74907,5512.86,577.305,0.0026148
0.017,-3.58114e-006,1.51123,75.6,0.00306,-1.58282e-006,23.9266,20.363,0.114268,15,21,2.75216,5519.06,577.955,0.0026148
0.018,-3.59179e-006,1.51294,75.6,0.00324,-1.77592e-006,23.9222,20.4232,0.114606,15,21,2.75526,5525.28,578.605,0.0026148
0.019,-3.58114e-006,1.51464,75.6,0.00342,-1.97879e-006,23.9179,20.4837,0.114946,15,21,2.75837,5531.5,579.257,0.0026148
0.02,-3.58824e-006,1.58228,75.6,0.0036,-2.19125e-006,23.9136,20.5444,0.115287,15,21,2.76148,5537.74,579.91,0.00272848
0.021,-3.58824e-006,1.51806,75.6,0.00378,-2.41309e-006,23.9093,20.6054,0.115629,15,21,2.76459,5543.98,580.565,0.0026148
0.022,-3.58114e-006,1.51977,75.6,0.00396,-2.64409e-006,23.905,20.6667,0.115973,15,21,2.76771,5550.24,581.22,0.0026148
0.023,-3.57758e-006,1.58764,75.6,0.00414,-2.88403e-006,23.9006,20.7282,0.116318,15,21,2.77084,5556.51,581.877,0.00272848
0.024,-3.57758e-006,1.58944,75.6,0.00432,-3.13275e-006,23.8963,20.79,0.116665,15,21,2.77397,5562.79,582.534,0.00272848
0.025,-3.58469e-006,1.59123,75.6,0.0045,-3.39004e-006,23.892,20.8521,0.117013,15,21,2.77711,5569.09,583.194,0.00272848
0.026,-3.58114e-006,1.59304,75.6,0.00468,-3.65572e-006,23.8877,20.9144,0.117363,15,21,2.78025,5575.39,583.854,0.00272848
0.027,-3.58114e-006,1.59484,75.6,0.00486,-3.92957e-006,23.8834,20.977,0.117714,15,21,2.7834,5581.71,584.516,0.00272848
0.028,-3.57403e-006,1.59665,75.6,0.00504,-4.2114e-006,23.879,21.0399,0.118067,15,21,2.78656,5588.04,585.178,0.00272848
0.029,-3.57048e-006,1.59846,75.6,0.00522,-4.50105e-006,23.8747,21.103,0.118421,15,21,2.78972,5594.38,585.842,0.00272848
0.03,-3.57758e-006,1.5336,75.6,0.0054,-4.79833e-006,23.8704,21.1664,0.118777,15,21,2.79289,5600.74,586.508,0.0026148
0.031,-3.57758e-006,1.6021,75.6,0.00558,-5.10305e-006,23.8661,21.2301,0.119134,15,21,2.79607,5607.1,587.174,0.00272848
0.032,-3.57403e-006,1.60392,75.6,0.00576,-5.41501e-006,23.8618,21.2941,0.119493,15,21,2.79925,5613.48,587.842,0.00272848
0.033,-3.57403e-006,1.60574,75.6,0.00594,-5.73403e-006,23.8574,21.3583,0.119854,15,21,2.80243,5619.87,588.511,0.00272848
0.034,-3.57048e-006,1.60757,75.6,0.00612,-6.05997e-006,23.8531,21.4228,0.120216,15,21,2.80562,5626.27,589.182,0.00272848
0.035,-3.57048e-006,1.6094,75.6,0.0063,-6.39261e-006,23.8488,21.4876,0.120579,15,21,2.80882,5632.68,589.853,0.00272848
0.036,-3.57048e-006,1.61124,75.6,0.00648,-6.73179e-006,23.8445,21.5527,0.120945,15,21,2.81203,5639.11,590.526,0.00272848
0.037,-3.57048e-006,1.61308,75.6,0.00666,-7.07733e-006,23.8402,21.618,0.121311,15,21,2.81524,5645.55,591.2,0.00272848
0.038,-3.56692e-006,1.61492,75.6,0.00684,-7.42907e-006,23.8358,21.6837,0.12168,15,21,2.81845,5652,591.876,0.00272848
0.039,-3.57048e-006,1.61677,75.6,0.00702,-7.78684e-006,23.8315,21.7496,0.12205,15,21,2.82168,5658.46,592.552,0.00272848
0.04,-3.57048e-006,1.61862,75.6,0.0072,-8.15047e-006,23.8272,21.8158,0.122421,15,21,2.8249,5664.93,593.23,0.00272848
0.041,-3.57048e-006,1.62047,75.6,0.00738,-8.5198e-006,23.8229,21.8823,0.122794,15,21,2.82814,5671.42,593.91,0.00272848
0.042,-3.56337e-006,1.62233,75.6,0.00756,-8.89466e-006,23.8186,21.9491,0.123169,15,21,2.83138,5677.92,594.59,0.00272848
0.043,-3.57758e-006,1.62419,75.6,0.00774,-9.27489e-006,23.8142,22.0162,0.123546,15,21,2.83463,5684.43,595.272,0.00272848
0.044,-3.57048e-006,1.62606,75.6,0.00792,-9.66035e-006,23.8099,22.0836,0.123924,15,21,2.83788,5690.96,595.956,0.00272848
0.045,-3.56337e-006,1.62792,75.6,0.0081,-1.00509e-005,23.8056,22.1512,0.124303,15,21,2.84114,5697.49,596.64,0.00272848
0.046,-3.57048e-006,1.6977,75.6,0.00828,-1.04463e-005,23.8013,22.2192,0.124685,15,21,2.84441,5704.04,597.326,0.00284217
0.047,-3.56337e-006,1.69966,75.6,0.00846,-1.08465e-005,23.797,22.2875,0.125068,15,21,2.84768,5710.61,598.013,0.00284217
0.048,-3.56692e-006,1.63355,75.6,0.00864,-1.12513e-005,23.7926,22.356,0.125453,15,21,2.85096,5717.18,598.702,0.00272848
0.049,-3.56337e-006,1.70357,75.6,0.00882,-1.16605e-005,23.7883,22.4249,0.125839,15,21,2.85424,5723.77,599.392,0.00284217
0.05,-3.56337e-006,1.63732,75.6,0.009,-1.2074e-005,23.784,22.4941,0.126227,15,21,2.85754,5730.37,600.083,0.00272848
0.051,-3.55982e-006,1.70751,75.6,0.00918,-1.24918e-005,23.7797,22.5636,0.126617,15,21,2.86083,5736.99,600.776,0.00284217
0.052,-3.56337e-006,1.6411,75.6,0.00936,-1.29135e-005,23.7754,22.6333,0.127009,15,21,2.86414,5743.61,601.47,0.00272848
0.053,-3.55982e-006,1.71146,75.6,0.00954,-1.33391e-005,23.771,22.7034,0.127402,15,21,2.86745,5750.25,602.165,0.00284217
0.054,-3.54916e-006,1.71344,75.6,0.00972,-1.37685e-005,23.7667,22.7738,0.127797,15,21,2.87077,5756.9,602.862,0.00284217
0.055,-3.55982e-006,1.71542,75.6,0.0099,-1.42015e-005,23.7624,22.8445,0.128194,15,21,2.87409,5763.57,603.56,0.00284217
0.056,-3.55982e-006,1.71741,75.6,0.01008,-1.46379e-005,23.7581,22.9156,0.128593,15,21,2.87742,5770.25,604.259,0.00284217
0.057,-3.55627e-006,1.7194,75.6,0.01026,-1.50777e-005,23.7538,22.9869,0.128993,15,21,2.88076,5776.94,604.96,0.00284217
0.058,-3.55982e-006,1.72139,75.6,0.01044,-1.55207e-005,23.7494,23.0586,0.129395,15,21,2.8841,5783.65,605.662,0.00284217
0.059,-3.55982e-006,1.72339,75.6,0.01062,-1.59668e-005,23.7451,23.1305,0.129799,15,21,2.88745,5790.36,606.365,0.00284217
0.06,-3.55627e-006,1.7254,75.6,0.0108,-1.64159e-005,23.7408,23.2028,0.130204,15,21,2.89081,5797.09,607.07,0.00284217
0.061,-3.55271e-006,1.72741,75.6,0.01098,-1.68677e-005,23.7365,23.2754,0.130612,15,21,2.89417,5803.84,607.777,0.00284217
0.062,-3.55982e-006,1.72942,75.6,0.01116,-1.73223e-005,23.7322,23.3484,0.131021,15,21,2.89754,5810.6,608.484,0.00284217
0.063,-3.54916e-006,1.73143,75.6,0.01134,-1.77794e-005,23.7278,23.4216,0.131432,15,21,2.90092,5817.37,609.193,0.00284217
0.064,-3.55627e-006,1.73345,75.6,0.01152,-1.82389e-005,23.7235,23.4952,0.131845,15,21,2.9043,5824.15,609.904,0.00284217
0.065,-3.54561e-006,1.80489,75.6,0.0117,-1.87008e-005,23.7192,23.5691,0.13226,15,21,2.90769,5830.95,610.616,0.00295586
0.066,-3.55271e-006,1.7375,75.6,0.01188,-1.91649e-005,23.7149,23.6433,0.132677,15,21,2.91109,5837.76,611.329,0.00284217
0.067,-3.55627e-006,1.73953,75.6,0.01206,-1.96312e-005,23.7106,23.7179,0.133095,15,21,2.91449,5844.59,612.044,0.00284217
0.068,-3.54916e-006,1.81123,75.6,0.01224,-2.00994e-005,23.7062,23.7928,0.133515,15,21,2.9179,5851.43,612.76,0.00295586
0.069,-3.55271e-006,1.74361,75.6,0.01242,-2.05695e-005,23.7019,23.8681,0.133938,15,21,2.92132,5858.28,613.478,0.00284217
0.07,-3.54561e-006,1.74565,75.6,0.0126,-2.10413e-005,23.6976,23.9436,0.134362,15,21,2.92475,5865.15,614.197,0.00284217
0.071,-3.54916e-006,1.7477,75.6,0.01278,-2.15148e-005,23.6933,24.0195,0.134788,15,21,2.92818,5872.03,614.918,0.00284217
0.072,-3.54561e-006,1.74975,75.6,0.01296,-2.19898e-005,23.689,24.0958,0.135216,15,21,2.93161,5878.93,615.64,0.00284217
0.073,-3.54561e-006,1.75181,75.6,0.01314,-2.24663e-005,23.6846,24.1724,0.135645,15,21,2.93506,5885.83,616.363,0.00284217
0.074,-3.54206e-006,1.75387,75.6,0.01332,-2.29441e-005,23.6803,24.2493,0.136077,15,21,2.93851,5892.76,617.088,0.00284217
0.075,-3.54561e-006,1.75593,75.6,0.0135,-2.34232e-005,23.676,24.3266,0.136511,15,21,2.94197,5899.69,617.814,0.00284217
0.076,-3.5385e-006,1.82832,75.6,0.01368,-2.39033e-005,23.6717,24.4042,0.136946,15,21,2.94544,5906.64,618.542,0.00295586
0.077,-3.54206e-006,1.83048,75.6,0.01386,-2.43846e-005,23.6674,24.4822,0.137384,15,21,2.94891,5913.61,619.271,0.00295586
0.078,-3.54561e-006,1.76215,75.6,0.01404,-2.48667e-005,23.663,24.5605,0.137823,15,21,2.95239,5920.59,620.002,0.00284217
0.079,-3.5385e-006,1.8348,75.6,0.01422,-2.53497e-005,23.6587,24.6392,0.138265,15,21,2.95588,5927.58,620.735,0.00295586
0.08,-3.54561e-006,1.83697,75.6,0.0144,-2.58335e-005,23.6544,24.7183,0.138708,15,21,2.95937,5934.59,621.468,0.00295586
0.081,-3.54206e-006,1.83915,75.6,0.01458,-2.63179e-005,23.6501,24.7976,0.139154,15,21,2.96287,5941.61,622.204,0.00295586
0.082,-3.54206e-006,1.84132,75.6,0.01476,-2.68028e-005,23.6458,24.8774,0.139601,15,21,2.96638,5948.64,622.94,0.00295586
0.083,-3.54206e-006,1.84351,75.6,0.01494,-2.72882e-005,23.6414,24.9575,0.140051,15,21,2.9699,5955.69,623.679,0.00295586
0.084,-3.54206e-006,1.91668,75.6,0.01512,-2.7774e-005,23.6371,25.038,0.140503,15,21,2.97342,5962.76,624.419,0.00306954
0.085,-3.54916e-006,1.84788,75.6,0.0153,-2.82601e-005,23.6328,25.1188,0.140956,15,21,2.97695,5969.84,625.16,0.00295586
0.086,-3.5385e-006,1.85008,75.6,0.01548,-2.87463e-005,23.6285,25.2,0.141412,15,21,2.98049,5976.93,625.903,0.00295586
0.087,-3.53495e-006,1.92352,75.6,0.01566,-2.92327e-005,23.6242,25.2816,0.14187,15,21,2.98403,5984.04,626.647,0.00306954
0.088,-3.5385e-006,1.92581,75.6,0.01584,-2.97192e-005,23.6198,25.3635,0.142329,15,21,2.98758,5991.16,627.393,0.00306954
0.089,-3.54561e-006,1.85669,75.6,0.01602,-3.02056e-005,23.6155,25.4458,0.142791,15,21,2.99114,5998.3,628.141,0.00295586
0.09,-3.53495e-006,1.85891,75.6,0.0162,-3.06918e-005,23.6112,25.5285,0.143255,15,21,2.99471,6005.45,628.89,0.00295586
0.091,-3.5385e-006,1.93271,75.6,0.01638,-3.11779e-005,23.6069,25.6115,0.143721,15,21,2.99828,6012.62,629.64,0.00306954
0.092,-3.54206e-006,1.86335,75.6,0.01656,-3.16636e-005,23.6026,25.6949,0.144189,15,21,3.00187,6019.8,630.392,0.00295586
0.093,-3.52784e-006,1.93733,75.6,0.01674,-3.2149e-005,23.5982,25.7788,0.14466,15,21,3.00545,6027,631.146,0.00306954
0.094,-3.52784e-006,1.86781,75.6,0.01692,-3.2634e-005,23.5939,25.8629,0.145132,15,21,3.00905,6034.21,631.901,0.00295586
0.095,-3.5314e-006,1.94197,75.6,0.0171,-3.31184e-005,23.5896,25.9475,0.145606,15,21,3.01265,6041.44,632.658,0.00306954
0.096,-3.52429e-006,1.9443,75.6,0.01728,-3.36023e-005,23.5853,26.0325,0.146083,15,21,3.01627,6048.68,633.416,0.00306954
0.097,-3.52429e-006,1.87454,75.6,0.01746,-3.40855e-005,23.581,26.1178,0.146562,15,21,3.01989,6055.94,634.176,0.00295586
0.098,-3.52429e-006,1.87679,75.6,0.01764,-3.4568e-005,23.5766,26.2035,0.147043,15,21,3.02351,6063.21,634.938,0.00295586
0.099,-3.53495e-006,1.87904,75.6,0.01782,-3.50497e-005,23.5723,26.2896,0.147526,15,21,3.02715,6070.5,635.701,0.00295586
0.1,-3.53495e-006,1.8813,75.6,0.018,-3.55306e-005,23.568,26.3761,0.148012,15,21,3.03079,6077.8,636.466,0.00295586
0.101,-3.52784e-006,1.95601,75.6,0.01818,-3.60106e-005,23.5637,26.463,0.148499,15,21,3.03444,6085.12,637.232,0.00306954
0.102,-3.52784e-006,1.95837,75.6,0.01836,-3.64895e-005,23.5594,26.5503,0.148989,15,21,3.03809,6092.46,638,0.00306954
0.103,-3.52784e-006,1.96073,75.6,0.01854,-3.69675e-005,23.555,26.638,0.149481,15,21,3.04176,6099.81,638.77,0.00306954
0.104,-3.5314e-006,1.9631,75.6,0.01872,-3.74443e-005,23.5507,26.7261,0.149976,15,21,3.04543,6107.17,639.541,0.00306954
0.105,-3.52784e-006,1.96547,75.6,0.0189,-3.792e-005,23.5464,26.8146,0.150472,15,21,3.04911,6114.55,640.314,0.00306954
0.106,-3.52074e-006,1.96785,75.6,0.01908,-3.83944e-005,23.5421,26.9035,0.150971,15,21,3.0528,6121.95,641.089,0.00306954
0.107,-3.52784e-006,1.97023,75.6,0.01926,-3.88675e-005,23.5378,26.9928,0.151472,15,21,3.0565,6129.36,641.865,0.00306954
0.108,-3.52074e-006,2.04568,75.6,0.01944,-3.93394e-005,23.5334,27.0825,0.151976,15,21,3.0602,6136.79,642.643,0.00318323
0.109,-3.52429e-006,1.97501,75.6,0.01962,-3.98098e-005,23.5291,27.1726,0.152481,15,21,3.06391,6144.23,643.422,0.00306954
0.11,-3.51719e-006,1.97741,75.6,0.0198,-4.02787e-005,23.5248,27.2632,0.152989,15,21,3.06763,6151.69,644.203,0.00306954
0.111,-3.52429e-006,1.97981,75.6,0.01998,-4.07462e-005,23.5205,27.3541,0.1535,15,21,3.07136,6159.17,644.986,0.00306954
0.112,-3.52074e-006,1.98222,75.6,0.02016,-4.12121e-005,23.5162,27.4455,0.154012,15,21,3.0751,6166.66,645.771,0.00306954
0.113,-3.52074e-006,1.98464,75.6,0.02034,-4.16764e-005,23.5118,27.5372,0.154527,15,21,3.07884,6174.16,646.557,0.00306954
0.114,-3.52429e-006,2.06065,75.6,0.02052,-4.21391e-005,23.5075,27.6294,0.155045,15,21,3.08259,6181.69,647.345,0.00318323
0.115,-3.52074e-006,2.06316,75.6,0.0207,-4.26e-005,23.5032,27.722,0.155564,15,21,3.08635,6189.23,648.134,0.00318323
0.116,-3.51719e-006,1.99191,75.6,0.02088,-4.30592e-005,23.4989,27.8151,0.156087,15,21,3.09012,6196.78,648.926,0.00306954
0.117,-3.51363e-006,2.0682,75.6,0.02106,-4.35167e-005,23.4946,27.9086,0.156611,15,21,3.0939,6204.36,649.719,0.00318323
0.118,-3.51719e-006,2.07073,75.6,0.02124,-4.39723e-005,23.4902,28.0024,0.157138,15,21,3.09768,6211.94,650.513,0.00318323
0.119,-3.51719e-006,2.07327,75.6,0.02142,-4.4426e-005,23.4859,28.0968,0.157667,15,21,3.10147,6219.55,651.31,0.00318323
0.12,-3.52074e-006,2.00167,75.6,0.0216,-4.48777e-005,23.4816,28.1915,0.158199,15,21,3.10527,6227.17,652.108,0.00306954
0.121,-3.51719e-006,2.07836,75.6,0.02178,-4.53275e-005,23.4773,28.2867,0.158733,15,21,3.10908,6234.81,652.908,0.00318323
0.122,-3.52074e-006,2.08091,75.6,0.02196,-4.57753e-005,23.473,28.3823,0.15927,15,21,3.1129,6242.46,653.709,0.00318323
0.123,-3.51363e-006,2.08346,75.6,0.02214,-4.62211e-005,23.4686,28.4784,0.159809,15,21,3.11672,6250.13,654.512,0.00318323
0.124,-3.51363e-006,2.08603,75.6,0.02232,-4.66647e-005,23.4643,28.5749,0.16035,15,21,3.12056,6257.82,655.317,0.00318323
0.125,-3.51008e-006,2.0886,75.6,0.0225,-4.71062e-005,23.46,28.6718,0.160894,15,21,3.1244,6265.52,656.124,0.00318323
0.126,-3.51008e-006,2.09117,75.6,0.02268,-4.75456e-005,23.4557,28.7692,0.161441,15,21,3.12825,6273.25,656.933,0.00318323
0.127,-3.51719e-006,2.09375,75.6,0.02286,-4.79828e-005,23.4514,28.867,0.16199,15,21,3.13211,6280.98,657.743,0.00318323
0.128,-3.51008e-006,2.09633,75.6,0.02304,-4.84177e-005,23.447,28.9653,0.162541,15,21,3.13597,6288.74,658.555,0.00318323
0.129,-3.51008e-006,2.09892,75.6,0.02322,-4.88504e-005,23.4427,29.064,0.163095,15,21,3.13985,6296.51,659.369,0.00318323
0.13,-3.51008e-006,2.17657,75.6,0.0234,-4.92808e-005,23.4384,29.1632,0.163652,15,21,3.14373,6304.3,660.185,0.00329692
0.131,-3.51363e-006,2.10412,75.6,0.02358,-4.97088e-005,23.4341,29.2628,0.164211,15,21,3.14763,6312.11,661.002,0.00318323
0.132,-3.50653e-006,2.10673,75.6,0.02376,-5.01345e-005,23.4298,29.3629,0.164772,15,21,3.15153,6319.93,661.821,0.00318323
0.133,-3.50298e-006,2.18468,75.6,0.02394,-5.05579e-005,23.4254,29.4635,0.165337,15,21,3.15544,6327.77,662.642,0.00329692
0.134,-3.50653e-006,2.18739,75.6,0.02412,-5.09788e-005,23.4211,29.5645,0.165903,15,21,3.15936,6335.63,663.465,0.00329692
0.135,-3.51008e-006,2.19011,75.6,0.0243,-5.13972e-005,23.4168,29.6659,0.166473,15,21,3.16328,6343.5,664.29,0.00329692
0.136,-3.50653e-006,2.19283,75.6,0.02448,-5.18132e-005,23.4125,29.7679,0.167045,15,21,3.16722,6351.39,665.116,0.00329692
0.137,-3.51719e-006,2.19556,75.6,0.02466,-5.22267e-005,23.4082,29.8703,0.167619,15,21,3.17116,6359.3,665.945,0.00329692
0.138,-3.51363e-006,2.1983,75.6,0.02484,-5.26376e-005,23.4038,29.9731,0.168197,15,21,3.17512,6367.23,666.775,0.00329692
0.139,-3.50298e-006,2.12515,75.6,0.02502,-5.3046e-005,23.3995,30.0765,0.168777,15,21,3.17908,6375.17,667.607,0.00318323
0.14,-3.50653e-006,2.20379,75.6,0.0252,-5.34517e-005,23.3952,30.1803,0.169359,15,21,3.18305,6383.14,668.441,0.00329692
0.141,-3.50298e-006,2.20655,75.6,0.02538,-5.38549e-005,23.3909,30.2845,0.169944,15,21,3.18703,6391.12,669.276,0.00329692
0.142,-3.51008e-006,2.20931,75.6,0.02556,-5.42555e-005,23.3866,30.3893,0.170532,15,21,3.19102,6399.11,670.114,0.00329692
0.143,-3.49942e-006,2.21208,75.6,0.02574,-5.46534e-005,23.3822,30.4945,0.171123,15,21,3.19501,6407.13,670.953,0.00329692
0.144,-3.50298e-006,2.21485,75.6,0.02592,-5.50486e-005,23.3779,30.6002,0.171716,15,21,3.19902,6415.16,671.794,0.00329692
0.145,-3.49942e-006,2.21763,75.6,0.0261,-5.54411e-005,23.3736,30.7064,0.172312,15,21,3.20303,6423.21,672.637,0.00329692
0.146,-3.50298e-006,2.22042,75.6,0.02628,-5.5831e-005,23.3693,30.8131,0.17291,15,21,3.20706,6431.28,673.482,0.00329692
0.147,-3.49232e-006,2.22321,75.6,0.02646,-5.62181e-005,23.365,30.9203,0.173512,15,21,3.21109,6439.37,674.329,0.00329692
0.148,-3.49587e-006,2.22601,75.6,0.02664,-5.66025e-005,23.3606,31.0279,0.174116,15,21,3.21513,6447.48,675.178,0.00329692
0.149,-3.50298e-006,2.30567,75.6,0.02682,-5.69841e-005,23.3563,31.1361,0.174722,15,21,3.21918,6455.6,676.029,0.00341061
0.15,-3.49587e-006,2.30858,75.6,0.027,-5.7363e-005,23.352,31.2447,0.175332,15,21,3.22324,6463.74,676.882,0.00341061
0.151,-3.49942e-006,2.23444,75.6,0.02718,-5.77391e-005,23.3477,31.3538,0.175944,15,21,3.22731,6471.9,677.736,0.00329692
0.152,-3.49587e-006,2.31441,75.6,0.02736,-5.81123e-005,23.3434,31.4634,0.17656,15,21,3.23139,6480.08,678.592,0.00341061
0.153,-3.49232e-006,2.24009,75.6,0.02754,-5.84827e-005,23.339,31.5735,0.177177,15,21,3.23548,6488.28,679.451,0.00329692
0.154,-3.50298e-006,2.32027,75.6,0.02772,-5.88503e-005,23.3347,31.6841,0.177798,15,21,3.23957,6496.49,680.311,0.00341061
0.155,-3.49232e-006,2.32321,75.6,0.0279,-5.9215e-005,23.3304,31.7953,0.178422,15,21,3.24368,6504.73,681.173,0.00341061
0.156,-3.49942e-006,2.32616,75.6,0.02808,-5.95768e-005,23.3261,31.9069,0.179048,15,21,3.2478,6512.98,682.038,0.00341061
0.157,-3.48876e-006,2.32912,75.6,0.02826,-5.99358e-005,23.3218,32.019,0.179677,15,21,3.25192,6521.25,682.904,0.00341061
0.158,-3.48876e-006,2.33208,75.6,0.02844,-6.02919e-005,23.3174,32.1316,0.180309,15,21,3.25605,6529.54,683.772,0.00341061
0.159,-3.48876e-006,2.33504,75.6,0.02862,-6.06451e-005,23.3131,32.2448,0.180944,15,21,3.2602,6537.85,684.642,0.00341061
0.16,-3.48876e-006,2.33802,75.6,0.0288,-6.09954e-005,23.3088,32.3584,0.181582,15,21,3.26435,6546.18,685.514,0.00341061
0.161,-3.48876e-006,2.341,75.6,0.02898,-6.13428e-005,23.3045,32.4726,0.182222,15,21,3.26851,6554.52,686.388,0.00341061
0.162,-3.49232e-006,2.34399,75.6,0.02916,-6.16873e-005,23.3002,32.5872,0.182866,15,21,3.27268,6562.89,687.264,0.00341061
0.163,-3.48876e-006,2.42521,75.6,0.02934,-6.20288e-005,23.2958,32.7024,0.183512,15,21,3.27686,6571.27,688.142,0.00352429
0.164,-3.48876e-006,2.34998,75.6,0.02952,-6.23674e-005,23.2915,32.8181,0.184161,15,21,3.28105,6579.68,689.022,0.00341061
0.165,-3.49232e-006,2.35299,75.6,0.0297,-6.27031e-005,23.2872,32.9343,0.184814,15,21,3.28525,6588.1,689.904,0.00341061
0.166,-3.48876e-006,2.43454,75.6,0.02988,-6.30358e-005,23.2829,33.0511,0.185469,15,21,3.28946,6596.54,690.788,0.00352429
0.167,-3.49232e-006,2.43766,75.6,0.03006,-6.33655e-005,23.2786,33.1683,0.186127,15,21,3.29368,6605,691.674,0.00352429
0.168,-3.48521e-006,2.44079,75.6,0.03024,-6.36923e-005,23.2742,33.2861,0.186788,15,21,3.29791,6613.48,692.562,0.00352429
0.169,-3.48521e-006,2.44393,75.6,0.03042,-6.40161e-005,23.2699,33.4044,0.187452,15,21,3.30215,6621.98,693.452,0.00352429
0.17,-3.48521e-006,2.36813,75.6,0.0306,-6.4337e-005,23.2656,33.5233,0.188119,15,21,3.3064,6630.5,694.344,0.00341061
0.171,-3.48166e-006,2.45022,75.6,0.03078,-6.46549e-005,23.2613,33.6426,0.188788,15,21,3.31066,6639.04,695.238,0.00352429
0.172,-3.48166e-006,2.45338,75.6,0.03096,-6.49698e-005,23.257,33.7625,0.189461,15,21,3.31492,6647.6,696.135,0.00352429
0.173,-3.48166e-006,2.45655,75.6,0.03114,-6.52818e-005,23.2526,33.883,0.190137,15,21,3.3192,6656.17,697.033,0.00352429
0.174,-3.48521e-006,2.45972,75.6,0.03132,-6.55907e-005,23.2483,34.0039,0.190816,15,21,3.32349,6664.77,697.933,0.00352429
0.175,-3.48876e-006,2.4629,75.6,0.0315,-6.58967e-005,23.244,34.1254,0.191498,15,21,3.32779,6673.39,698.836,0.00352429
0.176,-3.48876e-006,2.46609,75.6,0.03168,-6.61997e-005,23.2397,34.2475,0.192182,15,21,3.33209,6682.03,699.74,0.00352429
0.177,-3.47811e-006,2.46928,75.6,0.03186,-6.64997e-005,23.2354,34.37,0.19287,15,21,3.33641,6690.68,700.647,0.00352429
0.178,-3.48166e-006,2.47249,75.6,0.03204,-6.67968e-005,23.231,34.4931,0.193561,15,21,3.34074,6699.36,701.555,0.00352429
0.179,-3.47455e-006,2.4757,75.6,0.03222,-6.70909e-005,23.2267,34.6168,0.194255,15,21,3.34507,6708.06,702.466,0.00352429
0.18,-3.47811e-006,2.47891,75.6,0.0324,-6.7382e-005,23.2224,34.741,0.194952,15,21,3.34942,6716.77,703.379,0.00352429
0.181,-3.47455e-006,2.48214,75.6,0.03258,-6.76701e-005,23.2181,34.8657,0.195652,15,21,3.35378,6725.51,704.294,0.00352429
0.182,-3.47455e-006,2.56554,75.6,0.03276,-6.79553e-005,23.2138,34.991,0.196355,15,21,3.35814,6734.27,705.211,0.00363798
0.183,-3.48166e-006,2.48861,75.6,0.03294,-6.82375e-005,23.2094,35.1168,0.197061,15,21,3.36252,6743.04,706.13,0.00352429
0.184,-3.47455e-006,2.49185,75.6,0.03312,-6.85167e-005,23.2051,35.2432,0.19777,15,21,3.36691,6751.84,707.051,0.00352429
0.185,-3.47811e-006,2.5756,75.6,0.0333,-6.8793e-005,23.2008,35.3701,0.198482,15,21,3.3713,6760.66,707.975,0.00363798
0.186,-3.471e-006,2.57896,75.6,0.03348,-6.90663e-005,23.1965,35.4976,0.199198,15,21,3.37571,6769.5,708.9,0.00363798
