Time,I(L1),I(R1),Vo,Pout,Vind,CtrSignal,I_output,Port,PWM,Vcc,PG_Max,IL_REF,e_IL,Pin,IL,Pm,I_input,Vwind,S1.Pm,S1.Cp,S1.pitch,S1.v_ms,S1.lambda,S1.RPM,S1.rad_s,S1.torque
13.275,4.34144,3.30977,33.0977,109.244,-8.67075,2.73461,3.30866,9.99992,0,24.4314,109.241,4.47135,0.0939315,96.1236,4.37742,125.698,3.93442,95,125.717,0.355527,15,26.3889,4.53468,11427.2,1196.65,0.093678
13.35,4.34532,3.30893,33.0893,109.245,-8.70607,2.77501,3.30781,9.99992,0,24.3791,109.242,4.48095,0.099492,115.733,4.38146,125.698,4.74722,95,125.717,0.355527,15,26.3889,4.53468,11427.2,1196.65,0.111413
13.425,4.31466,3.31094,33.1094,109.245,-8.54907,2.7018,3.30986,9.99992,0,24.5689,109.231,4.44592,0.0957666,94.5798,4.35015,125.701,3.84958,95,125.719,0.355533,15,26.3889,4.53454,11426.8,1196.62,0.0786713
13.5,4.33515,3.30973,33.0973,109.244,-8.73556,2.77498,3.30862,9.99992,0,24.3608,109.245,4.48446,0.113054,108.053,4.37141,125.703,4.43553,95,125.716,0.355525,15,26.3889,4.53473,11427.3,1196.67,0.104819
13.575,4.33951,3.3095,33.095,109.244,-8.61128,2.75402,3.30839,9.99992,0,24.477,109.239,4.46291,0.0876506,122.135,4.37526,125.699,4.98979,95,125.717,0.355529,15,26.3889,4.53464,11427.1,1196.64,0.11687
13.65,4.31108,3.31062,33.1062,109.245,-8.67288,2.75518,3.30954,9.99992,0,24.4368,109.239,4.47026,0.123187,97.5796,4.34707,125.698,3.99313,95,125.717,0.355528,15,26.3889,4.53465,11427.1,1196.64,0.0948148
13.725,4.33457,3.30944,33.0944,109.245,-8.68954,2.77531,3.30832,9.99992,0,24.3998,109.24,4.4771,0.106458,117.721,4.37064,125.7,4.82469,95,125.717,0.355528,15,26.3889,4.53466,11427.1,1196.65,0.113232
13.8,4.34273,3.30962,33.0962,109.244,-8.5725,2.71737,3.30851,9.99992,0,24.5318,109.236,4.45281,0.0745232,88.1565,4.37829,125.703,3.59355,95,125.718,0.35553,15,26.3889,4.5346,11427,1196.63,0.0861746
13.875,4.33464,3.30981,33.0981,109.244,-8.72818,2.77223,3.3087,9.99992,0,24.3685,109.246,4.48308,0.112212,109.343,4.37087,125.7,4.48706,95,125.716,0.355525,15,26.3889,4.53474,11427.3,1196.67,0.105956
13.95,4.33851,3.30941,33.0941,109.245,-8.58688,2.74403,3.3083,9.99992,0,24.5001,109.235,4.45857,0.0844068,123.305,4.37416,125.697,5.03285,95,125.718,0.355531,15,26.3889,4.53459,11427,1196.63,0.11778
14.025,4.34738,3.30897,33.0897,109.245,-8.68734,2.75331,3.30785,9.99992,0,24.4056,109.241,4.47605,0.0926254,99.0675,4.38343,125.699,4.05922,95,125.717,0.355528,15,26.3889,4.53467,11427.2,1196.65,0.0964064
14.1,4.3362,3.30951,33.0951,109.245,-8.67755,2.77582,3.30839,9.99992,0,24.4123,109.241,4.47483,0.102603,118.293,4.37223,125.703,4.84565,95,125.717,0.355527,15,26.3889,4.53467,11427.2,1196.65,0.113687
14.175,4.34229,3.30969,33.0969,109.244,-8.61016,2.72467,3.30857,9.99991,0,24.4941,109.239,4.45981,0.0818072,89.7549,4.37801,125.701,3.66435,95,125.717,0.355528,15,26.3889,4.53465,11427.1,1196.64,0.0877662
14.25,4.34402,3.30909,33.0909,109.245,-8.72345,2.77135,3.30796,9.99991,0,24.3657,109.244,4.48352,0.103295,110.077,4.38022,125.698,4.51769,95,125.716,0.355526,15,26.3889,4.53471,11427.3,1196.66,0.106411
14.325,4.31598,3.31085,33.1085,109.245,-8.5854,2.70657,3.30976,9.99991,0,24.5155,109.232,4.45564,0.104015,123.908,4.35163,125.699,5.0543,95,125.719,0.355532,15,26.3889,4.53455,11426.9,1196.62,0.118462
14.4,4.33829,3.30977,33.0977,109.245,-8.70651,2.75005,3.30865,9.99991,0,24.3931,109.242,4.4784,0.103978,101.663,4.37442,125.703,4.1677,95,125.717,0.355527,15,26.3889,4.53469,11427.2,1196.65,0.0989075
14.475,4.33586,3.30954,33.0954,109.244,-8.66464,2.77437,3.30843,9.99991,0,24.4252,109.242,4.4725,0.100668,119.196,4.37183,125.702,4.88005,95,125.717,0.355527,15,26.3889,4.53468,11427.2,1196.65,0.114596
14.55,4.34227,3.30971,33.0971,109.245,-8.62287,2.72407,3.30859,9.99991,0,24.4807,109.238,4.46222,0.0841805,91.5184,4.37804,125.699,3.73838,95,125.717,0.355529,15,26.3889,4.53464,11427.1,1196.64,0.0893579
14.625,4.3343,3.30963,33.0963,109.245,-8.71803,2.76565,3.30852,9.99991,0,24.3753,109.241,4.48164,0.111156,112.832,4.37049,125.698,4.62895,95,125.717,0.355527,15,26.3889,4.53468,11427.2,1196.65,0.109139
14.7,4.34132,3.30949,33.0949,109.245,-8.55827,2.73284,3.30837,9.99991,0,24.5293,109.233,4.45316,0.0763112,123.777,4.37685,125.702,5.04608,95,125.718,0.355532,15,26.3889,4.53456,11426.9,1196.62,0.118007
14.775,4.33883,3.30983,33.0983,109.244,-8.71234,2.75091,3.30872,9.99991,0,24.3871,109.244,4.47957,0.104583,103.464,4.37499,125.703,4.24255,95,125.716,0.355526,15,26.3889,4.53471,11427.3,1196.66,0.100499
14.85,4.33892,3.3094,33.094,109.245,-8.64965,2.77066,3.30828,9.99991,0,24.4382,109.24,4.47008,0.0952406,120.635,4.37483,125.699,4.93633,95,125.717,0.355528,15,26.3889,4.53467,11427.2,1196.65,0.115733
14.925,4.34747,3.30891,33.0891,109.245,-8.63854,2.74776,3.30778,9.99991,0,24.4565,109.238,4.46663,0.0833254,92.8337,4.38331,125.697,3.79587,95,125.717,0.355529,15,26.3889,4.53464,11427.1,1196.64,0.0904947
15,4.33889,3.31073,33.1073,109.245,-8.7329,2.68013,3.30962,9.99991,0,24.3708,109.241,4.48246,0.107322,114.282,4.37514,125.701,4.6893,95,125.717,0.355527,15,26.3889,4.53467,11427.2,1196.65,0.110276
