Time,Vo,Pe,S2.Pm,S2.Cp,S2.pitch,S2.v_ms,S2.lambda,S2.RPM,S2.rad_s,S2.torque
0.0001,0.0008,0,1.99385,0.00589545,15,26,0,0,0,0
0.0002,0.0016,1.24243e-010,3.05069,0.00902032,15,26,0.36451,905.012,94.7726,0.00446221
0.0003,0.0024,8.13783e-010,3.05133,0.0090222,15,26,0.364691,905.46,94.8196,0.00950706
0.0004,0.0032,2.84419e-009,3.05191,0.00902392,15,26,0.364854,905.867,94.8622,0.0122782
0.0005,0.004,7.21587e-009,3.05242,0.00902544,15,26,0.364999,906.227,94.8998,0.0143956
0.0006,0.0048,1.50604e-008,3.05288,0.0090268,15,26,0.36513,906.551,94.9338,0.0160014
0.0007,0.0056,2.75827e-008,3.0533,0.00902805,15,26,0.36525,906.848,94.9649,0.0172236
0.0008,0.0064,4.60231e-008,3.0537,0.00902922,15,26,0.365361,907.124,94.9938,0.0181473
0.0009,0.0072,7.16326e-008,3.05407,0.00903032,15,26,0.365466,907.385,95.0211,0.0188578
0.001,0.008,1.05657e-007,3.05442,0.00903137,15,26,0.365566,907.633,95.0471,0.0193978
0.0011,0.0088,1.49331e-007,3.05477,0.00903238,15,26,0.365662,907.873,95.0722,0.0197957
0.0012,0.0096,2.03867e-007,3.0551,0.00903336,15,26,0.365756,908.105,95.0966,0.0201084
0.0013,0.0104,2.7046e-007,3.05542,0.00903432,15,26,0.365848,908.333,95.1204,0.0203215
0.0014,0.0112,3.50284e-007,3.05574,0.00903526,15,26,0.365938,908.557,95.1439,0.0204921
0.0015,0.012,4.44492e-007,3.05606,0.0090362,15,26,0.366027,908.778,95.167,0.0206057
0.0016,0.0128,5.54218e-007,3.05637,0.00903712,15,26,0.366115,908.997,95.1899,0.0206768
0.0017,0.0136,6.8058e-007,3.05668,0.00903804,15,26,0.366203,909.215,95.2127,0.0207478
0.0018,0.0144,8.24679e-007,3.05699,0.00903896,15,26,0.36629,909.431,95.2354,0.0207905
0.0019,0.0152,9.87602e-007,3.0573,0.00903987,15,26,0.366377,909.647,95.258,0.0208047
0.002,0.016,1.17042e-006,3.05761,0.00904078,15,26,0.366464,909.863,95.2806,0.0208189
