Time,Vo,Pe,S2.Pm,S2.Cp,S2.pitch,S2.v_ms,S2.lambda,S2.RPM,S2.rad_s,S2.torque
0.0001,0.0008,0,3.71726,0.00589545,15,32,0,0,0,0
0.0002,0.0016,1.24243e-010,5.25366,0.00833213,15,32,0.296164,905.012,94.7726,0.00446221
0.0003,0.0024,8.14773e-010,5.2554,0.00833489,15,32,0.296449,905.881,94.8636,0.0107434
0.0004,0.0032,2.85138e-009,5.25705,0.00833751,15,32,0.296719,906.707,94.9502,0.0135287
0.0005,0.004,7.24464e-009,5.25861,0.00833998,15,32,0.296974,907.486,95.0317,0.015703
0.0006,0.0048,1.51445e-008,5.26009,0.00834233,15,32,0.297217,908.227,95.1093,0.0173657
0.0007,0.0056,2.77839e-008,5.26152,0.00834459,15,32,0.29745,908.94,95.1839,0.0186589
0.0008,0.0064,4.64414e-008,5.2629,0.00834678,15,32,0.297676,909.63,95.2562,0.0196678
0.0009,0.0072,7.24173e-008,5.26424,0.00834892,15,32,0.297896,910.302,95.3266,0.0204494
0.001,0.008,1.07019e-007,5.26556,0.00835101,15,32,0.298111,910.96,95.3955,0.0210747
0.0011,0.0088,1.5155e-007,5.26686,0.00835306,15,32,0.298323,911.608,95.4633,0.0215579
0.0012,0.0096,2.0731e-007,5.26814,0.00835509,15,32,0.298532,912.246,95.5302,0.0219558
0.0013,0.0104,2.75587e-007,5.2694,0.0083571,15,32,0.298738,912.877,95.5963,0.0222542
0.0014,0.0112,3.57659e-007,5.27066,0.00835909,15,32,0.298943,913.502,95.6618,0.0225242
0.0015,0.012,4.54798e-007,5.2719,0.00836106,15,32,0.299146,914.123,95.7267,0.0227374
0.0016,0.0128,5.68265e-007,5.27314,0.00836302,15,32,0.299348,914.739,95.7912,0.0229079
0.0017,0.0136,6.99316e-007,5.27436,0.00836497,15,32,0.299548,915.352,95.8554,0.0230642
0.0018,0.0144,8.49202e-007,5.27559,0.00836691,15,32,0.299748,915.961,95.9192,0.0231921
0.0019,0.0152,1.01917e-006,5.2768,0.00836884,15,32,0.299946,916.568,95.9827,0.0233058
0.002,0.016,1.21046e-006,5.27802,0.00837076,15,32,0.300144,917.172,96.046,0.0234053
0.0021,0.0168,1.42432e-006,5.27923,0.00837268,15,32,0.300341,917.773,96.109,0.0235048
0.0022,0.0176,1.66199e-006,5.28043,0.00837459,15,32,0.300537,918.373,96.1718,0.02359
0.0023,0.0184,1.92471e-006,5.28163,0.00837649,15,32,0.300732,918.97,96.2344,0.0236753
0.0024,0.0192,2.21373e-006,5.28283,0.00837839,15,32,0.300927,919.566,96.2967,0.0237463
0.0025,0.02,2.53028e-006,5.28402,0.00838028,15,32,0.301122,920.16,96.3589,0.0238174
0.0026,0.0208,2.87563e-006,5.28521,0.00838217,15,32,0.301315,920.752,96.4209,0.0239027
0.0027,0.0216,3.25102e-006,5.2864,0.00838405,15,32,0.301508,921.342,96.4827,0.0239595
0.0028,0.0224,3.65769e-006,5.28758,0.00838593,15,32,0.301701,921.93,96.5443,0.0240306
0.0029,0.0232,4.09692e-006,5.28876,0.0083878,15,32,0.301893,922.517,96.6057,0.0240874
0.003,0.024,4.56994e-006,5.28994,0.00838966,15,32,0.302084,923.102,96.667,0.0241585
0.0031,0.0248,5.07804e-006,5.29111,0.00839153,15,32,0.302275,923.685,96.7281,0.0242153
0.0032,0.0256,5.62248e-006,5.29228,0.00839338,15,32,0.302466,924.267,96.789,0.0242721
0.0033,0.0264,6.20452e-006,5.29345,0.00839524,15,32,0.302655,924.847,96.8498,0.0243432
0.0034,0.0272,6.82544e-006,5.29461,0.00839708,15,32,0.302845,925.426,96.9103,0.0244
0.0035,0.028,7.48651e-006,5.29578,0.00839893,15,32,0.303034,926.003,96.9708,0.0244711
0.0036,0.0288,8.18902e-006,5.29693,0.00840076,15,32,0.303222,926.578,97.031,0.0245279
0.0037,0.0296,8.93425e-006,5.29809,0.0084026,15,32,0.30341,927.152,97.0911,0.0245706
0.0038,0.0304,9.72349e-006,5.29924,0.00840443,15,32,0.303597,927.724,97.1511,0.0246416
0.0039,0.0312,1.0558e-005,5.30039,0.00840625,15,32,0.303784,928.295,97.2108,0.0246985
0.004,0.032,1.14392e-005,5.30154,0.00840807,15,32,0.30397,928.864,97.2704,0.0247695
0.0041,0.0328,1.23682e-005,5.30269,0.00840989,15,32,0.304156,929.432,97.3299,0.0248122
0.0042,0.0336,1.33464e-005,5.30383,0.0084117,15,32,0.304341,929.998,97.3892,0.024869
0.0043,0.0344,1.43751e-005,5.30497,0.00841351,15,32,0.304526,930.563,97.4483,0.0249258
0.0044,0.0352,1.54557e-005,5.30611,0.00841531,15,32,0.30471,931.126,97.5073,0.0249827
0.0045,0.036,1.65893e-005,5.30724,0.00841711,15,32,0.304894,931.688,97.5662,0.0250395
0.0046,0.0368,1.77774e-005,5.30837,0.0084189,15,32,0.305078,932.249,97.6248,0.0250964
0.0047,0.0376,1.90212e-005,5.3095,0.00842069,15,32,0.305261,932.807,97.6834,0.0251532
0.0048,0.0384,2.03222e-005,5.31062,0.00842248,15,32,0.305443,933.365,97.7417,0.0251958
0.0049,0.0392,2.16815e-005,5.31175,0.00842426,15,32,0.305625,933.921,97.8,0.0252669
0.005,0.04,2.31005e-005,5.31287,0.00842603,15,32,0.305806,934.475,97.858,0.0253095
0.0051,0.0408,2.45806e-005,5.31399,0.00842781,15,32,0.305987,935.028,97.9159,0.0253806
0.0052,0.0416,2.61231e-005,5.3151,0.00842957,15,32,0.306168,935.58,97.9737,0.025409
0.0053,0.0424,2.77293e-005,5.31621,0.00843134,15,32,0.306348,936.13,98.0313,0.0254801
0.0054,0.0432,2.94006e-005,5.31732,0.0084331,15,32,0.306528,936.679,98.0888,0.0255369
0.0055,0.044,3.11383e-005,5.31843,0.00843486,15,32,0.306707,937.227,98.1462,0.0255795
0.0056,0.0448,3.29437e-005,5.31953,0.00843661,15,32,0.306885,937.773,98.2033,0.0256222
0.0057,0.0456,3.48094e-005,5.32075,0.00843854,15,32,0.307083,938.376,98.2665,0.0201794
0.0058,0.0464,3.67297e-005,5.32203,0.00844056,15,32,0.307289,939.005,98.3324,0.0214726
0.0059,0.0472,3.87095e-005,5.32327,0.00844253,15,32,0.30749,939.619,98.3967,0.0225526
0.006,0.048,4.07529e-005,5.32447,0.00844444,15,32,0.307684,940.214,98.459,0.0233769
0.0061,0.0488,4.28636e-005,5.32565,0.00844631,15,32,0.307874,940.794,98.5197,0.0240306
0.0062,0.0496,4.50446e-005,5.3268,0.00844813,15,32,0.30806,941.363,98.5793,0.0245421
0.0063,0.0504,4.72986e-005,5.32794,0.00844993,15,32,0.308243,941.922,98.6379,0.0249543
0.0064,0.0512,4.96281e-005,5.32905,0.00845171,15,32,0.308424,942.475,98.6957,0.0252669
0.0065,0.052,5.20352e-005,5.33016,0.00845346,15,32,0.308603,943.021,98.753,0.0255227
0.0066,0.0528,5.4522e-005,5.33126,0.0084552,15,32,0.30878,943.563,98.8097,0.0257359
0.0067,0.0536,5.70903e-005,5.33235,0.00845693,15,32,0.308956,944.101,98.866,0.0258922
0.0068,0.0544,5.97418e-005,5.33343,0.00845865,15,32,0.309131,944.635,98.922,0.0260343
0.0069,0.0552,6.24783e-005,5.33451,0.00846036,15,32,0.309305,945.167,98.9776,0.0261622
0.007,0.056,6.53014e-005,5.33559,0.00846206,15,32,0.309478,945.696,99.033,0.0262474
0.0071,0.0568,6.82125e-005,5.33666,0.00846376,15,32,0.309651,946.223,99.0882,0.0263327
0.0072,0.0576,7.12133e-005,5.33772,0.00846545,15,32,0.309822,946.748,99.1432,0.026418
0.0073,0.0584,7.43052e-005,5.33878,0.00846713,15,32,0.309994,947.271,99.198,0.026489
0.0074,0.0592,7.74897e-005,5.33984,0.00846881,15,32,0.310164,947.792,99.2526,0.0265459
0.0075,0.06,8.07682e-005,5.3409,0.00847049,15,32,0.310335,948.312,99.307,0.0266027
0.0076,0.0608,8.41423e-005,5.34195,0.00847216,15,32,0.310504,948.831,99.3613,0.0266738
0.0077,0.0616,8.76132e-005,5.343,0.00847382,15,32,0.310673,949.348,99.4155,0.0267306
0.0078,0.0624,9.11825e-005,5.34405,0.00847549,15,32,0.310842,949.864,99.4695,0.0267733
0.0079,0.0632,9.48515e-005,5.34509,0.00847714,15,32,0.311011,950.378,99.5234,0.0268159
0.008,0.064,9.86216e-005,5.34614,0.0084788,15,32,0.311179,950.892,99.5771,0.0268585
0.0081,0.0648,0.000102494,5.34718,0.00848045,15,32,0.311346,951.403,99.6307,0.0269154
0.0082,0.0656,0.000106471,5.34822,0.0084821,15,32,0.311513,951.914,99.6842,0.026958
0.0083,0.0664,0.000110553,5.34925,0.00848374,15,32,0.31168,952.424,99.7376,0.0270006
0.0084,0.0672,0.000114742,5.35029,0.00848538,15,32,0.311846,952.932,99.7908,0.0270433
0.0085,0.068,0.000119039,5.35132,0.00848702,15,32,0.312012,953.439,99.8439,0.0270859
0.0086,0.0688,0.000123446,5.35235,0.00848865,15,32,0.312178,953.945,99.8969,0.0271427
0.0087,0.0696,0.000127963,5.35338,0.00849028,15,32,0.312343,954.45,99.9497,0.0271854
0.0088,0.0704,0.000132593,5.3544,0.0084919,15,32,0.312508,954.953,100.002,0.027228
0.0089,0.0712,0.000137337,5.35542,0.00849353,15,32,0.312672,955.456,100.055,0.0272706
0.009,0.072,0.000142196,5.35644,0.00849515,15,32,0.312836,955.957,100.108,0.0272991
0.0091,0.0728,0.000147172,5.35746,0.00849676,15,32,0.313,956.457,100.16,0.0273417
0.0092,0.0736,0.000152266,5.35848,0.00849837,15,32,0.313163,956.956,100.212,0.0273843
0.0093,0.0744,0.000157479,5.35949,0.00849998,15,32,0.313326,957.454,100.264,0.0274269
0.0094,0.0752,0.000162813,5.36051,0.00850159,15,32,0.313489,957.951,100.316,0.0274696
0.0095,0.076,0.000168269,5.36152,0.00850319,15,32,0.313651,958.447,100.368,0.0275122
0.0096,0.0768,0.000173848,5.36253,0.00850479,15,32,0.313813,958.941,100.42,0.0275548
0.0097,0.0776,0.000179553,5.36353,0.00850639,15,32,0.313974,959.435,100.472,0.0275833
0.0098,0.0784,0.000185384,5.36454,0.00850798,15,32,0.314136,959.928,100.523,0.0276259
0.0099,0.0792,0.000191344,5.36554,0.00850957,15,32,0.314296,960.419,100.575,0.0276543
0.01,0.08,0.000197432,5.36654,0.00851116,15,32,0.314457,960.909,100.626,0.027697
0.0101,0.0808,0.000203651,5.36754,0.00851274,15,32,0.314617,961.398,100.677,0.0277396
0.0102,0.0816,0.000210002,5.36853,0.00851432,15,32,0.314777,961.887,100.729,0.0277822
0.0103,0.0824,0.000216487,5.36953,0.0085159,15,32,0.314936,962.374,100.78,0.0278249
0.0104,0.0832,0.000223107,5.37052,0.00851747,15,32,0.315095,962.86,100.83,0.0278533
0.0105,0.084,0.000229863,5.37151,0.00851904,15,32,0.315254,963.345,100.881,0.0278959
0.0106,0.0848,0.000236756,5.3725,0.00852061,15,32,0.315412,963.829,100.932,0.0279385
0.0107,0.0856,0.000243789,5.37349,0.00852217,15,32,0.31557,964.312,100.983,0.027967
0.0108,0.0864,0.000250962,5.37447,0.00852373,15,32,0.315728,964.794,101.033,0.0279954
0.0109,0.0872,0.000258259,5.37559,0.0085255,15,32,0.315907,965.34,101.09,0.0218989
0.011,0.088,0.000265664,5.37677,0.00852737,15,32,0.316095,965.916,101.151,0.0233342
0.0111,0.0888,0.000273189,5.37791,0.00852918,15,32,0.316278,966.475,101.209,0.0245137
0.0112,0.0896,0.00028084,5.37901,0.00853093,15,32,0.316454,967.013,101.265,0.025409
0.0113,0.0904,0.000288623,5.38008,0.00853262,15,32,0.316625,967.536,101.32,0.0261196
0.0114,0.0912,0.000296543,5.38112,0.00853428,15,32,0.316792,968.046,101.374,0.0266596
0.0115,0.092,0.000304606,5.38214,0.0085359,15,32,0.316956,968.547,101.426,0.0270859
0.0116,0.0928,0.000312814,5.38315,0.0085375,15,32,0.317118,969.04,101.478,0.0274269
0.0117,0.0936,0.00032117,5.38415,0.00853908,15,32,0.317277,969.527,101.529,0.0276827
0.0118,0.0944,0.000329678,5.38514,0.00854065,15,32,0.317435,970.009,101.579,0.0278959
0.0119,0.0952,0.00033834,5.38612,0.0085422,15,32,0.317591,970.487,101.629,0.0280664
