Time,Vo,Pe,S2.Pm,S2.Cp,S2.pitch,S2.v_ms,S2.lambda,S2.RPM,S2.rad_s,S2.torque
0.0001,0.0008,0,2.49027,0.00589545,15,28,0,0,0,0
0.0002,0.0016,1.24243e-010,3.69685,0.00875188,15,28,0.338474,905.012,94.7726,0.00446221
0.0003,0.0024,8.14073e-010,3.69776,0.00875405,15,28,0.338687,905.584,94.8325,0.00986233
0.0004,0.0032,2.8463e-009,3.69861,0.00875607,15,28,0.338886,906.113,94.888,0.0126477
0.0005,0.004,7.22431e-009,3.69939,0.0087579,15,28,0.339066,906.596,94.9385,0.0147793
0.0006,0.0048,1.50851e-008,3.70011,0.0087596,15,28,0.339233,907.043,94.9853,0.0163993
0.0007,0.0056,2.76417e-008,3.70078,0.00876119,15,28,0.33939,907.462,95.0292,0.0176499
0.0008,0.0064,4.61458e-008,3.70142,0.00876271,15,28,0.339539,907.859,95.0708,0.018602
0.0009,0.0072,7.18628e-008,3.70203,0.00876416,15,28,0.339681,908.241,95.1108,0.019341
0.001,0.008,1.06057e-007,3.70263,0.00876556,15,28,0.339819,908.61,95.1494,0.019881
0.0011,0.0088,1.49982e-007,3.7032,0.00876693,15,28,0.339954,908.969,95.187,0.0203073
0.0012,0.0096,2.04877e-007,3.70377,0.00876827,15,28,0.340085,909.321,95.2239,0.0206484
0.0013,0.0104,2.71964e-007,3.70433,0.00876959,15,28,0.340215,909.667,95.2602,0.0209042
0.0014,0.0112,3.52448e-007,3.70488,0.00877089,15,28,0.340343,910.009,95.296,0.0210747
0.0015,0.012,4.47517e-007,3.70542,0.00877218,15,28,0.340469,910.348,95.3314,0.021231
0.0016,0.0128,5.58341e-007,3.70596,0.00877346,15,28,0.340595,910.684,95.3666,0.0213447
0.0017,0.0136,6.8608e-007,3.7065,0.00877473,15,28,0.34072,911.018,95.4015,0.02143
0.0018,0.0144,8.31878e-007,3.70703,0.008776,15,28,0.340844,911.35,95.4363,0.0214868
0.0019,0.0152,9.96869e-007,3.70757,0.00877726,15,28,0.340968,911.681,95.471,0.0215437
0.002,0.016,1.18218e-006,3.7081,0.00877851,15,28,0.341091,912.011,95.5056,0.0215863
0.0021,0.0168,1.38892e-006,3.70863,0.00877977,15,28,0.341214,912.34,95.54,0.0216005
0.0022,0.0176,1.6182e-006,3.70916,0.00878102,15,28,0.341337,912.669,95.5744,0.0216289
0.0023,0.0184,1.87112e-006,3.70968,0.00878227,15,28,0.34146,912.997,95.6088,0.0216431
0.0024,0.0192,2.14878e-006,3.71021,0.00878352,15,28,0.341582,913.324,95.6431,0.0216573
0.0025,0.02,2.45227e-006,3.71074,0.00878477,15,28,0.341705,913.652,95.6774,0.0216716
0.0026,0.0208,2.78267e-006,3.71126,0.00878602,15,28,0.341827,913.978,95.7116,0.0216716
0.0027,0.0216,3.14107e-006,3.71179,0.00878726,15,28,0.341949,914.305,95.7458,0.0216716
