Time,Vo,Pe,S2.Pm,S2.Cp,S2.pitch,S2.v_ms,S2.lambda,S2.RPM,S2.rad_s,S2.torque
0.0001,0.0008,0,0.907534,0.00589545,15,20,0,0,0,0
0.0002,0.0016,1.24243e-010,1.57595,0.0102376,15,20,0.473863,905.012,94.7726,0.00446221
0.0003,0.0024,8.13119e-010,1.57611,0.0102386,15,20,0.47395,905.179,94.7901,0.00868283
0.0004,0.0032,2.83937e-009,1.57623,0.0102394,15,20,0.474016,905.304,94.8032,0.0114397
0.0005,0.004,7.1966e-009,1.5763,0.0102399,15,20,0.474058,905.384,94.8115,0.0135145
0.0006,0.0048,1.50041e-008,1.57635,0.0102401,15,20,0.474081,905.428,94.8162,0.0150919
0.0007,0.0056,2.7448e-008,1.57636,0.0102403,15,20,0.474091,905.446,94.8181,0.0162572
0.0008,0.0064,4.5743e-008,1.57636,0.0102402,15,20,0.47409,905.445,94.818,0.0171525
0.0009,0.0072,7.11069e-008,1.57635,0.0102401,15,20,0.474081,905.429,94.8163,0.017792
0.001,0.008,1.04745e-007,1.57632,0.01024,15,20,0.474067,905.402,94.8135,0.0182609
0.0011,0.0088,1.47843e-007,1.57629,0.0102398,15,20,0.474049,905.367,94.8098,0.0186162
0.0012,0.0096,2.01559e-007,1.57625,0.0102395,15,20,0.474028,905.327,94.8056,0.0188578
0.0013,0.0104,2.67024e-007,1.57621,0.0102392,15,20,0.474005,905.283,94.801,0.0190141
0.0014,0.0112,3.4534e-007,1.57616,0.010239,15,20,0.473981,905.236,94.7961,0.0191136
0.0015,0.012,4.37582e-007,1.57612,0.0102387,15,20,0.473955,905.188,94.7911,0.0191704
0.0016,0.0128,5.448e-007,1.57607,0.0102384,15,20,0.47393,905.139,94.786,0.0191989
0.0017,0.0136,6.68015e-007,1.57603,0.0102381,15,20,0.473904,905.091,94.7809,0.0191847
0.0018,0.0144,8.08231e-007,1.57598,0.0102377,15,20,0.473879,905.042,94.7758,0.0191562
0.0019,0.0152,9.66426e-007,1.57593,0.0102375,15,20,0.473854,904.994,94.7707,0.0191278
0.002,0.016,1.14356e-006,1.57589,0.0102372,15,20,0.473829,904.947,94.7658,0.019071
0.0021,0.0168,1.34057e-006,1.57584,0.0102369,15,20,0.473805,904.901,94.761,0.0189999
0.0022,0.0176,1.55839e-006,1.5758,0.0102366,15,20,0.473782,904.856,94.7563,0.0189431
0.0023,0.0184,1.79792e-006,1.57576,0.0102363,15,20,0.473759,904.813,94.7518,0.0188578
0.0024,0.0192,2.06006e-006,1.57572,0.0102361,15,20,0.473737,904.771,94.7474,0.0187867
0.0025,0.02,2.34567e-006,1.57568,0.0102358,15,20,0.473716,904.731,94.7432,0.0187157
0.0026,0.0208,2.65563e-006,1.57564,0.0102356,15,20,0.473695,904.692,94.7391,0.0186304
0.0027,0.0216,2.99078e-006,1.57561,0.0102354,15,20,0.473676,904.654,94.7352,0.0185452
0.0028,0.0224,3.35197e-006,1.57558,0.0102351,15,20,0.473657,904.619,94.7315,0.0184457
0.0029,0.0232,3.74001e-006,1.57554,0.0102349,15,20,0.473639,904.585,94.7279,0.0183746
0.003,0.024,4.15572e-006,1.57551,0.0102347,15,20,0.473622,904.552,94.7245,0.0182752
0.0031,0.0248,4.5999e-006,1.57548,0.0102345,15,20,0.473606,904.521,94.7213,0.0182041
0.0032,0.0256,5.07334e-006,1.57545,0.0102343,15,20,0.473591,904.492,94.7182,0.0181188
0.0033,0.0264,5.57682e-006,1.57543,0.0102342,15,20,0.473577,904.465,94.7153,0.0180336
0.0034,0.0272,6.1111e-006,1.5754,0.010234,15,20,0.473563,904.439,94.7126,0.0179341
0.0035,0.028,6.67695e-006,1.57538,0.0102339,15,20,0.47355,904.415,94.7101,0.017863
0.0036,0.0288,7.2751e-006,1.57536,0.0102337,15,20,0.473539,904.392,94.7077,0.0177636
0.0037,0.0296,7.90629e-006,1.57534,0.0102336,15,20,0.473528,904.371,94.7055,0.0176925
0.0038,0.0304,8.57125e-006,1.57532,0.0102335,15,20,0.473518,904.352,94.7035,0.0176072
0.0039,0.0312,9.27068e-006,1.5753,0.0102334,15,20,0.473508,904.334,94.7016,0.017522
0.004,0.032,1.00053e-005,1.57529,0.0102333,15,20,0.4735,904.318,94.7,0.0174367
0.0041,0.0328,1.07758e-005,1.57527,0.0102332,15,20,0.473492,904.303,94.6984,0.0173515
0.0042,0.0336,1.15828e-005,1.57526,0.0102331,15,20,0.473485,904.29,94.6971,0.0172662
0.0043,0.0344,1.24271e-005,1.57525,0.010233,15,20,0.473479,904.279,94.6959,0.0171809
0.0044,0.0352,1.33093e-005,1.57524,0.010233,15,20,0.473474,904.269,94.6949,0.0171099
0.0045,0.036,1.423e-005,1.57523,0.0102329,15,20,0.47347,904.261,94.694,0.0170246
