Time,Vo,Pe,S2.Pm,S2.Cp,S2.pitch,S2.v_ms,S2.lambda,S2.RPM,S2.rad_s,S2.torque
0.0001,0.0008,0,3.06293,0.00589545,15,30,0,0,0,0
0.0002,0.0016,1.24243e-010,4.42936,0.00852552,15,30,0.315909,905.012,94.7726,0.00446221
0.0003,0.0024,8.14403e-010,4.43064,0.00852798,15,30,0.316157,905.723,94.8471,0.0102744
0.0004,0.0032,2.84869e-009,4.43184,0.0085303,15,30,0.316391,906.393,94.9172,0.0130598
0.0005,0.004,7.23388e-009,4.43296,0.00853245,15,30,0.316608,907.015,94.9824,0.0152056
0.0006,0.0048,1.5113e-008,4.43401,0.00853448,15,30,0.316812,907.6,95.0437,0.0168541
0.0007,0.0056,2.77086e-008,4.43501,0.00853641,15,30,0.317007,908.157,95.102,0.0181331
0.0008,0.0064,4.62849e-008,4.43597,0.00853826,15,30,0.317194,908.693,95.1581,0.0190994
0.0009,0.0072,7.21238e-008,4.43691,0.00854005,15,30,0.317375,909.211,95.2124,0.0198526
0.001,0.008,1.0651e-007,4.43781,0.0085418,15,30,0.317551,909.716,95.2653,0.0204352
0.0011,0.0088,1.5072e-007,4.43871,0.00854352,15,30,0.317724,910.211,95.3171,0.0209042
0.0012,0.0096,2.06022e-007,4.43958,0.0085452,15,30,0.317894,910.698,95.3681,0.0212594
0.0013,0.0104,2.73669e-007,4.44045,0.00854687,15,30,0.318061,911.179,95.4184,0.0215437
0.0014,0.0112,3.54901e-007,4.4413,0.00854852,15,30,0.318227,911.654,95.4682,0.0217568
0.0015,0.012,4.50944e-007,4.44215,0.00855015,15,30,0.318392,912.125,95.5175,0.0219273
0.0016,0.0128,5.63012e-007,4.443,0.00855177,15,30,0.318555,912.593,95.5666,0.0220837
0.0017,0.0136,6.9231e-007,4.44383,0.00855339,15,30,0.318718,913.059,95.6153,0.0221974
0.0018,0.0144,8.40033e-007,4.44467,0.00855499,15,30,0.318879,913.522,95.6638,0.0222968
0.0019,0.0152,1.00737e-006,4.4455,0.00855659,15,30,0.31904,913.983,95.712,0.0223679
0.002,0.016,1.19549e-006,4.44633,0.00855819,15,30,0.3192,914.442,95.7601,0.0224389
0.0021,0.0168,1.40558e-006,4.44715,0.00855977,15,30,0.31936,914.899,95.808,0.0224958
0.0022,0.0176,1.63882e-006,4.44797,0.00856136,15,30,0.319519,915.356,95.8558,0.0225526
0.0023,0.0184,1.89635e-006,4.4488,0.00856294,15,30,0.319678,915.811,95.9035,0.0225953
0.0024,0.0192,2.17936e-006,4.44961,0.00856452,15,30,0.319837,916.265,95.9511,0.0226521
0.0025,0.02,2.489e-006,4.45043,0.00856609,15,30,0.319995,916.718,95.9985,0.0226805
0.0026,0.0208,2.82644e-006,4.45125,0.00856766,15,30,0.320153,917.17,96.0458,0.0227232
0.0027,0.0216,3.19284e-006,4.45206,0.00856923,15,30,0.32031,917.621,96.093,0.0227516
0.0028,0.0224,3.58936e-006,4.45287,0.00857079,15,30,0.320467,918.071,96.1402,0.0227942
0.0029,0.0232,4.01715e-006,4.45369,0.00857235,15,30,0.320624,918.52,96.1872,0.0228226
0.003,0.024,4.47738e-006,4.4545,0.00857391,15,30,0.320781,918.969,96.2342,0.0228511
0.0031,0.0248,4.97121e-006,4.4553,0.00857546,15,30,0.320937,919.416,96.281,0.0228937
0.0032,0.0256,5.4998e-006,4.45611,0.00857702,15,30,0.321093,919.863,96.3278,0.0229079
0.0033,0.0264,6.06431e-006,4.45692,0.00857857,15,30,0.321248,920.309,96.3745,0.0229363
0.0034,0.0272,6.66589e-006,4.45772,0.00858012,15,30,0.321404,920.753,96.4211,0.0229647
0.0035,0.028,7.30572e-006,4.45852,0.00858166,15,30,0.321559,921.198,96.4676,0.0230074
0.0036,0.0288,7.98495e-006,4.45932,0.0085832,15,30,0.321713,921.641,96.514,0.0230358
0.0037,0.0296,8.70474e-006,4.46012,0.00858474,15,30,0.321868,922.084,96.5604,0.02305
0.0038,0.0304,9.46627e-006,4.46092,0.00858628,15,30,0.322022,922.525,96.6066,0.0230784
0.0039,0.0312,1.02707e-005,4.46172,0.00858782,15,30,0.322176,922.966,96.6528,0.0231068
0.004,0.032,1.11192e-005,4.46252,0.00858935,15,30,0.32233,923.407,96.6989,0.0231211
0.0041,0.0328,1.20128e-005,4.46331,0.00859088,15,30,0.322483,923.846,96.7449,0.0231637
0.0042,0.0336,1.29529e-005,4.46411,0.00859241,15,30,0.322636,924.285,96.7909,0.0231921
0.0043,0.0344,1.39405e-005,4.4649,0.00859393,15,30,0.322789,924.723,96.8367,0.0232063
0.0044,0.0352,1.49769e-005,4.46569,0.00859546,15,30,0.322942,925.16,96.8825,0.0232347
0.0045,0.036,1.60631e-005,4.46648,0.00859698,15,30,0.323094,925.596,96.9282,0.0232632
0.0046,0.0368,1.72004e-005,4.46727,0.0085985,15,30,0.323246,926.032,96.9738,0.0232916
0.0047,0.0376,1.83899e-005,4.46806,0.00860001,15,30,0.323398,926.467,97.0194,0.0233058
0.0048,0.0384,1.96327e-005,4.46884,0.00860153,15,30,0.32355,926.901,97.0649,0.0233484
0.0049,0.0392,2.09301e-005,4.46963,0.00860304,15,30,0.323701,927.335,97.1103,0.0233626
0.005,0.04,2.22833e-005,4.47041,0.00860455,15,30,0.323852,927.767,97.1556,0.0233769
0.0051,0.0408,2.36933e-005,4.4712,0.00860606,15,30,0.324003,928.199,97.2008,0.0234195
0.0052,0.0416,2.51614e-005,4.47198,0.00860756,15,30,0.324153,928.631,97.246,0.0234337
0.0053,0.0424,2.66887e-005,4.47276,0.00860906,15,30,0.324304,929.061,97.2911,0.0234479
0.0054,0.0432,2.82763e-005,4.47354,0.00861056,15,30,0.324454,929.491,97.3361,0.0234905
0.0055,0.044,2.99256e-005,4.47432,0.00861206,15,30,0.324603,929.92,97.381,0.0235048
0.0056,0.0448,3.16376e-005,4.47509,0.00861356,15,30,0.324753,930.349,97.4259,0.0235332
0.0057,0.0456,3.34053e-005,4.47597,0.00861524,15,30,0.324921,930.829,97.4762,0.0185025
0.0058,0.0464,3.52236e-005,4.47689,0.00861701,15,30,0.325098,931.336,97.5293,0.0196536
0.0059,0.0472,3.70967e-005,4.47778,0.00861873,15,30,0.325269,931.828,97.5808,0.0206342
0.006,0.048,3.90285e-005,4.47864,0.00862039,15,30,0.325435,932.304,97.6306,0.0213731
0.0061,0.0488,4.10223e-005,4.47948,0.00862201,15,30,0.325597,932.767,97.6791,0.0219416
0.0062,0.0496,4.30806e-005,4.48031,0.00862359,15,30,0.325755,933.219,97.7265,0.0223821
0.0063,0.0504,4.52061e-005,4.48111,0.00862514,15,30,0.32591,933.664,97.7731,0.0227374
0.0064,0.0512,4.74007e-005,4.48191,0.00862668,15,30,0.326063,934.103,97.819,0.0230074
0.0065,0.052,4.96665e-005,4.4827,0.00862819,15,30,0.326215,934.536,97.8644,0.0232205
0.0066,0.0528,5.20051e-005,4.48348,0.0086297,15,30,0.326365,934.966,97.9094,0.0233769
0.0067,0.0536,5.44182e-005,4.48426,0.00863119,15,30,0.326514,935.393,97.9541,0.023519
0.0068,0.0544,5.69074e-005,4.48503,0.00863268,15,30,0.326662,935.818,97.9986,0.0236184
0.0069,0.0552,5.94741e-005,4.48579,0.00863415,15,30,0.326809,936.24,98.0428,0.0237037
0.007,0.056,6.21195e-005,4.48656,0.00863562,15,30,0.326956,936.66,98.0868,0.0237748
0.0071,0.0568,6.48452e-005,4.48732,0.00863709,15,30,0.327102,937.079,98.1307,0.0238316
0.0072,0.0576,6.76524e-005,4.48808,0.00863855,15,30,0.327248,937.497,98.1744,0.0238742
0.0073,0.0584,7.05424e-005,4.48884,0.00864001,15,30,0.327394,937.914,98.2181,0.0239311
