Time,Vo,Pe,S2.Pm,S2.Cp,S2.pitch,S2.v_ms,S2.lambda,S2.RPM,S2.rad_s,S2.torque
0.0001,0.0008,0,1.20793,0.00589545,15,22,0,0,0,0
0.0002,0.0016,1.24243e-010,1.99567,0.00974014,15,22,0.430785,905.012,94.7726,0.00446221
0.0003,0.0024,8.13308e-010,1.99594,0.00974147,15,22,0.430902,905.259,94.7985,0.00891021
0.0004,0.0032,2.84074e-009,1.99617,0.00974257,15,22,0.431,905.464,94.82,0.0116813
0.0005,0.004,7.20209e-009,1.99634,0.00974342,15,22,0.431076,905.624,94.8367,0.0137561
0.0006,0.0048,1.50201e-008,1.99648,0.00974409,15,22,0.431135,905.748,94.8497,0.0153477
0.0007,0.0056,2.74864e-008,1.99659,0.00974461,15,22,0.431181,905.845,94.8599,0.0165414
0.0008,0.0064,4.58228e-008,1.99667,0.00974503,15,22,0.431218,905.923,94.868,0.0174367
0.0009,0.0072,7.12565e-008,1.99674,0.00974537,15,22,0.431248,905.986,94.8746,0.0180904
0.001,0.008,1.05005e-007,1.9968,0.00974564,15,22,0.431273,906.037,94.88,0.0185878
0.0011,0.0088,1.48267e-007,1.99685,0.00974588,15,22,0.431293,906.081,94.8845,0.0189573
0.0012,0.0096,2.02216e-007,1.99689,0.00974608,15,22,0.431311,906.118,94.8885,0.0192131
0.0013,0.0104,2.68002e-007,1.99693,0.00974626,15,22,0.431327,906.152,94.892,0.0193978
0.0014,0.0112,3.46748e-007,1.99696,0.00974642,15,22,0.431342,906.182,94.8952,0.0195115
0.0015,0.012,4.3955e-007,1.99699,0.00974658,15,22,0.431355,906.211,94.8982,0.0195826
0.0016,0.0128,5.47481e-007,1.99702,0.00974672,15,22,0.431368,906.238,94.9011,0.0196252
0.0017,0.0136,6.71593e-007,1.99705,0.00974687,15,22,0.431381,906.266,94.9039,0.0196394
0.0018,0.0144,8.12915e-007,1.99708,0.00974701,15,22,0.431394,906.293,94.9067,0.0196252
0.0019,0.0152,9.72456e-007,1.99711,0.00974716,15,22,0.431407,906.32,94.9096,0.0195968
0.002,0.016,1.15121e-006,1.99714,0.00974731,15,22,0.431421,906.348,94.9125,0.0195683
0.0021,0.0168,1.35015e-006,1.99717,0.00974746,15,22,0.431434,906.376,94.9155,0.0195257
0.0022,0.0176,1.57024e-006,1.99721,0.00974762,15,22,0.431448,906.406,94.9186,0.0194689
