Time,Vo,Pe,S2.Pm,S2.Cp,S2.pitch,S2.v_ms,S2.lambda,S2.RPM,S2.rad_s,S2.torque
0.0001,0.0008,0,1.56822,0.00589545,15,24,0,0,0,0
0.0002,0.0016,1.24243e-010,2.48544,0.00934359,15,24,0.394886,905.012,94.7726,0.00446221
0.0003,0.0024,8.13528e-010,2.48587,0.0093452,15,24,0.395034,905.352,94.8083,0.00918021
0.0004,0.0032,2.84234e-009,2.48624,0.00934661,15,24,0.395165,905.651,94.8396,0.0119513
0.0005,0.004,7.20849e-009,2.48656,0.0093478,15,24,0.395275,905.904,94.866,0.0140545
0.0006,0.0048,1.50388e-008,2.48683,0.00934883,15,24,0.39537,906.121,94.8887,0.0156462
0.0007,0.0056,2.75311e-008,2.48707,0.00934973,15,24,0.395453,906.311,94.9086,0.0168541
0.0008,0.0064,4.59158e-008,2.48729,0.00935053,15,24,0.395527,906.481,94.9264,0.0177636
0.0009,0.0072,7.14311e-008,2.48748,0.00935126,15,24,0.395594,906.635,94.9426,0.0184599
0.001,0.008,1.05308e-007,2.48766,0.00935194,15,24,0.395657,906.778,94.9576,0.0189715
0.0011,0.0088,1.48761e-007,2.48783,0.00935257,15,24,0.395715,906.913,94.9717,0.019341
0.0012,0.0096,2.02983e-007,2.48799,0.00935318,15,24,0.395771,907.041,94.9851,0.0196252
0.0013,0.0104,2.69143e-007,2.48815,0.00935376,15,24,0.395825,907.165,94.9981,0.0198241
0.0014,0.0112,3.4839e-007,2.4883,0.00935433,15,24,0.395878,907.285,95.0107,0.0199663
0.0015,0.012,4.41844e-007,2.48845,0.00935489,15,24,0.395929,907.403,95.023,0.0200657
0.0016,0.0128,5.50609e-007,2.48859,0.00935544,15,24,0.39598,907.52,95.0352,0.0201226
0.0017,0.0136,6.75766e-007,2.48874,0.00935599,15,24,0.396031,907.635,95.0474,0.020151
0.0018,0.0144,8.18378e-007,2.48888,0.00935653,15,24,0.396081,907.751,95.0594,0.0201652
0.0019,0.0152,9.7949e-007,2.48903,0.00935708,15,24,0.396131,907.866,95.0715,0.020151
0.002,0.016,1.16013e-006,2.48917,0.00935762,15,24,0.396181,907.981,95.0835,0.020151
0.0021,0.0168,1.36132e-006,2.48932,0.00935817,15,24,0.396232,908.096,95.0956,0.0201226
0.0022,0.0176,1.58406e-006,2.48946,0.00935872,15,24,0.396282,908.212,95.1077,0.0200941
0.0023,0.0184,1.82934e-006,2.48961,0.00935927,15,24,0.396333,908.329,95.1199,0.0200515
0.0024,0.0192,2.09814e-006,2.48976,0.00935982,15,24,0.396384,908.446,95.1322,0.0200231
0.0025,0.02,2.39143e-006,2.48991,0.00936038,15,24,0.396436,908.564,95.1446,0.0199805
0.0026,0.0208,2.71016e-006,2.49006,0.00936094,15,24,0.396487,908.682,95.157,0.0199378
0.0027,0.0216,3.0553e-006,2.49021,0.00936151,15,24,0.39654,908.802,95.1695,0.019881
0.0028,0.0224,3.42777e-006,2.49036,0.00936208,15,24,0.396592,908.922,95.1821,0.0198384
0.0029,0.0232,3.82851e-006,2.49051,0.00936265,15,24,0.396645,909.043,95.1948,0.0197957
0.003,0.024,4.25845e-006,2.49066,0.00936323,15,24,0.396698,909.165,95.2076,0.0197531
0.0031,0.0248,4.7185e-006,2.49082,0.00936381,15,24,0.396752,909.288,95.2204,0.0197105
0.0032,0.0256,5.20956e-006,2.49098,0.0093644,15,24,0.396806,909.412,95.2334,0.0196536
0.0033,0.0264,5.73255e-006,2.49113,0.00936499,15,24,0.39686,909.537,95.2465,0.019611
0.0034,0.0272,6.28835e-006,2.49129,0.00936558,15,24,0.396915,909.662,95.2596,0.0195541
0.0035,0.028,6.87784e-006,2.49145,0.00936618,15,24,0.39697,909.789,95.2729,0.0195115
0.0036,0.0288,7.50192e-006,2.49161,0.00936678,15,24,0.397026,909.916,95.2862,0.0194689
0.0037,0.0296,8.16144e-006,2.49177,0.00936739,15,24,0.397082,910.044,95.2996,0.019412
0.0038,0.0304,8.85728e-006,2.49193,0.009368,15,24,0.397138,910.174,95.3132,0.0193552
0.0039,0.0312,9.59029e-006,2.4921,0.00936862,15,24,0.397195,910.304,95.3268,0.0193126
0.004,0.032,1.03613e-005,2.49226,0.00936924,15,24,0.397252,910.435,95.3405,0.0192699
0.0041,0.0328,1.11712e-005,2.49243,0.00936986,15,24,0.39731,910.566,95.3543,0.0192131
0.0042,0.0336,1.20208e-005,2.4926,0.00937049,15,24,0.397367,910.699,95.3682,0.0191562
0.0043,0.0344,1.2911e-005,2.49276,0.00937112,15,24,0.397426,910.833,95.3822,0.0191278
0.0044,0.0352,1.38425e-005,2.49293,0.00937176,15,24,0.397484,910.967,95.3963,0.019071
0.0045,0.036,1.48162e-005,2.4931,0.0093724,15,24,0.397543,911.102,95.4104,0.0190283
0.0046,0.0368,1.58329e-005,2.49328,0.00937305,15,24,0.397603,911.239,95.4247,0.0189715
0.0047,0.0376,1.68934e-005,2.49345,0.0093737,15,24,0.397663,911.376,95.439,0.0189289
0.0048,0.0384,1.79984e-005,2.49362,0.00937435,15,24,0.397723,911.513,95.4535,0.0188862
0.0049,0.0392,1.91489e-005,2.4938,0.00937501,15,24,0.397783,911.652,95.468,0.0188294
0.005,0.04,2.03455e-005,2.49397,0.00937567,15,24,0.397844,911.792,95.4826,0.018801
0.0051,0.0408,2.15891e-005,2.49415,0.00937633,15,24,0.397905,911.932,95.4973,0.0187441
0.0052,0.0416,2.28805e-005,2.49433,0.009377,15,24,0.397967,912.073,95.5121,0.0187015
0.0053,0.0424,2.42203e-005,2.49451,0.00937768,15,24,0.398029,912.215,95.527,0.0186589
0.0054,0.0432,2.56094e-005,2.49469,0.00937835,15,24,0.398091,912.358,95.5419,0.0186162
0.0055,0.044,2.70485e-005,2.49487,0.00937903,15,24,0.398154,912.502,95.557,0.0185594
0.0056,0.0448,2.85384e-005,2.49505,0.00937972,15,24,0.398217,912.647,95.5721,0.0185167
0.0057,0.0456,3.00798e-005,2.49523,0.00938041,15,24,0.398281,912.792,95.5873,0.0184741
0.0058,0.0464,3.16668e-005,2.49547,0.0093813,15,24,0.398363,912.98,95.607,0.014424
0.0059,0.0472,3.32951e-005,2.49574,0.0093823,15,24,0.398454,913.19,95.6291,0.0152625
0.006,0.048,3.4968e-005,2.49599,0.00938325,15,24,0.398542,913.39,95.65,0.0159872
0.0061,0.0488,3.66882e-005,2.49623,0.00938414,15,24,0.398624,913.579,95.6697,0.016513
0.0062,0.0496,3.84582e-005,2.49645,0.00938499,15,24,0.398702,913.758,95.6885,0.0168967
0.0063,0.0504,4.02799e-005,2.49667,0.00938581,15,24,0.398777,913.931,95.7066,0.0171951
0.0064,0.0512,4.21551e-005,2.49688,0.00938661,15,24,0.398851,914.098,95.7242,0.0174083
0.0065,0.052,4.40852e-005,2.49709,0.00938738,15,24,0.398922,914.263,95.7414,0.0175646
0.0066,0.0528,4.60715e-005,2.49729,0.00938815,15,24,0.398993,914.424,95.7583,0.0176641
0.0067,0.0536,4.81153e-005,2.4975,0.00938891,15,24,0.399063,914.584,95.7751,0.0177351
0.0068,0.0544,5.02175e-005,2.4977,0.00938967,15,24,0.399132,914.743,95.7917,0.017792
0.0069,0.0552,5.2379e-005,2.4979,0.00939042,15,24,0.399201,914.901,95.8082,0.0178062
0.007,0.056,5.46009e-005,2.4981,0.00939116,15,24,0.39927,915.059,95.8248,0.0178204
0.0071,0.0568,5.68839e-005,2.49829,0.00939191,15,24,0.399339,915.217,95.8413,0.0178204
0.0072,0.0576,5.92289e-005,2.49849,0.00939266,15,24,0.399407,915.374,95.8578,0.0178062
0.0073,0.0584,6.16365e-005,2.49869,0.00939341,15,24,0.399476,915.532,95.8743,0.0177778
0.0074,0.0592,6.41076e-005,2.49889,0.00939416,15,24,0.399546,915.691,95.8909,0.0177494
0.0075,0.06,6.66428e-005,2.49909,0.00939492,15,24,0.399615,915.85,95.9076,0.0177351
0.0076,0.0608,6.92429e-005,2.4993,0.00939567,15,24,0.399684,916.009,95.9242,0.0177067
0.0077,0.0616,7.19084e-005,2.4995,0.00939643,15,24,0.399754,916.169,95.941,0.0176783
0.0078,0.0624,7.46401e-005,2.4997,0.0093972,15,24,0.399824,916.329,95.9578,0.0176357
0.0079,0.0632,7.74386e-005,2.4999,0.00939796,15,24,0.399894,916.491,95.9747,0.017593
0.008,0.064,8.03045e-005,2.50011,0.00939873,15,24,0.399965,916.652,95.9916,0.0175646
0.0081,0.0648,8.32385e-005,2.50031,0.0093995,15,24,0.400036,916.815,96.0086,0.017522
0.0082,0.0656,8.62412e-005,2.50052,0.00940028,15,24,0.400107,916.978,96.0257,0.0174794
0.0083,0.0664,8.93133e-005,2.50073,0.00940106,15,24,0.400179,917.142,96.0429,0.0174367
0.0084,0.0672,9.24552e-005,2.50093,0.00940184,15,24,0.40025,917.307,96.0601,0.0173941
0.0085,0.068,9.56676e-005,2.50114,0.00940262,15,24,0.400323,917.472,96.0774,0.0173657
0.0086,0.0688,9.89512e-005,2.50135,0.00940341,15,24,0.400395,917.638,96.0948,0.017323
0.0087,0.0696,0.000102306,2.50156,0.0094042,15,24,0.400468,917.804,96.1122,0.0172804
0.0088,0.0704,0.000105734,2.50178,0.009405,15,24,0.400541,917.972,96.1298,0.0172378
0.0089,0.0712,0.000109234,2.50199,0.0094058,15,24,0.400614,918.14,96.1474,0.0171951
0.009,0.072,0.000112808,2.5022,0.0094066,15,24,0.400688,918.309,96.165,0.0171667
0.0091,0.0728,0.000116456,2.50242,0.00940741,15,24,0.400762,918.478,96.1828,0.0171383
0.0092,0.0736,0.000120178,2.50263,0.00940822,15,24,0.400836,918.648,96.2006,0.0170957
0.0093,0.0744,0.000123976,2.50285,0.00940903,15,24,0.40091,918.819,96.2185,0.017053
0.0094,0.0752,0.000127849,2.50306,0.00940984,15,24,0.400985,918.99,96.2365,0.0170246
0.0095,0.076,0.000131798,2.50328,0.00941066,15,24,0.40106,919.163,96.2545,0.016982
