flow,i1,i2,i3,rpm,time,v1,v2,v3,wind_km/h,wind_lev,wind_m/s,windspeed,pitch
1093.46207342,0.238461538462,0.0,0.0,5895,0.99148,0.0,0.0,24.70703125,45.4608702874,v1,12.6280195243,0,5
1089.17956543,0.230769230769,0.0,0.0,5934,1.0145,0.0,0.0,24.7607421875,45.2828242946,v1,12.5785623041,0,5
1094.33536904,0.246153846154,0.0,0.0,5850,1.0377,0.0,0.0,24.7607421875,45.4971777001,v1,12.6381049167,0,5
1089.83468771,0.25,0.0,0.0,5888,1.0601,0.0,0.0,24.7607421875,45.3100611141,v1,12.5861280873,0,5
1089.97488368,0.246153846154,0.0,0.0,5852,1.0825,0.0,0.0,24.70703125,45.315889785,v1,12.5877471625,0,5
1085.78679078,0.230769230769,0.0,0.0,5985,1.105,0.0,0.0,24.70703125,45.1417691158,v1,12.53938031,0,5
1090.77124095,0.25,0.0,0.0,5852,1.1273,0.0,0.0,24.70703125,45.3489984732,v1,12.5969440203,0,5
1088.61522321,0.242307692308,0.0,0.0,5852,1.1513,0.0,0.0,24.7607421875,45.2593616716,v1,12.5720449088,0,5
1087.85231127,0.246153846154,0.0,0.0,6000,1.1738,0.0,0.0,24.70703125,45.2276434791,v1,12.5632342997,0,5
1092.74258843,0.238461538462,0.0,0.0,5852,1.1966,0.0,0.0,24.7607421875,45.4309575773,v1,12.6197104381,0,5
1091.20464913,0.242307692308,0.0,0.0,5850,1.2184,0.0,0.0,24.7607421875,45.3670174912,v1,12.6019493031,0,5
1093.46207342,0.238461538462,0.0,0.0,6028,1.2406,0.0,0.0,24.7607421875,45.4608702874,v1,12.6280195243,0,5
1089.17956543,0.234615384615,0.0,0.0,5805,1.2648,0.0,0.0,24.814453125,45.2828242946,v1,12.5785623041,0,5
1094.33536904,0.226923076923,0.0,0.0,5904,1.2874,0.0,0.0,24.7607421875,45.4971777001,v1,12.6381049167,0,5
1089.83468771,0.253846153846,0.0,0.0,5940,1.3115,0.0,0.0,24.7607421875,45.3100611141,v1,12.5861280873,0,5
1089.97488368,0.234615384615,0.0,0.0,5828,1.3337,0.0,0.0,24.7607421875,45.315889785,v1,12.5877471625,0,5
1085.78679078,0.246153846154,0.0,0.0,5940,1.3565,0.0,0.0,24.70703125,45.1417691158,v1,12.53938031,0,5
1090.77124095,0.226923076923,0.0,0.0,5940,1.3801,0.0,0.0,24.70703125,45.3489984732,v1,12.5969440203,0,5
1088.61522321,0.242307692308,0.0,0.0,5922,1.4024,0.0,0.0,24.70703125,45.2593616716,v1,12.5720449088,0,5
1087.85231127,0.25,0.0,0.0,5940,1.425,0.0,0.0,24.814453125,45.2276434791,v1,12.5632342997,0,5
1092.74258843,0.234615384615,0.0,0.15,5940,1.4473,0.0,0.0,24.70703125,45.4309575773,v1,12.6197104381,0,5
1091.20464913,0.234615384615,0.0,0.0,5852,1.4696,0.0,0.0,24.7607421875,45.3670174912,v1,12.6019493031,0,5
1093.46207342,0.230769230769,0.0,0.0,5852,1.4937,0.0,0.0,24.814453125,45.4608702874,v1,12.6280195243,0,5
1089.17956543,0.242307692308,0.0,0.0,5828,1.5168,0.0,0.0,24.70703125,45.2828242946,v1,12.5785623041,0,5
1094.33536904,0.242307692308,0.0,0.0,5934,1.5388,0.0,0.0,24.7607421875,45.4971777001,v1,12.6381049167,0,5
1089.83468771,0.230769230769,0.0,0.0,5805,1.5613,0.0,0.0,24.7607421875,45.3100611141,v1,12.5861280873,0,5
1089.97488368,0.223076923077,0.0,0.0,5985,1.5832,0.0,0.0,24.7607421875,45.315889785,v1,12.5877471625,0,5
1085.78679078,0.246153846154,0.0,0.0,5848,1.6076,0.0,0.0,24.7607421875,45.1417691158,v1,12.53938031,0,5
1090.77124095,0.238461538462,0.0,0.0,5856,1.6302,0.0,0.0,24.7607421875,45.3489984732,v1,12.5969440203,0,5
1088.61522321,0.226923076923,0.0,0.0,5940,1.6532,0.0,0.0,24.7607421875,45.2593616716,v1,12.5720449088,0,5
1087.85231127,0.246153846154,0.0,0.0,5895,1.6757,0.0,0.0,24.814453125,45.2276434791,v1,12.5632342997,0,5
1092.74258843,0.238461538462,0.0,0.0,5985,1.6984,0.0,0.0,24.6533203125,45.4309575773,v1,12.6197104381,0,5
1091.20464913,0.234615384615,0.0,0.0,5808,1.7226,0.0,0.0,24.70703125,45.3670174912,v1,12.6019493031,0,5
1093.46207342,0.25,0.0,0.0,5904,1.7451,0.0,0.0,24.7607421875,45.4608702874,v1,12.6280195243,0,5
1089.17956543,0.246153846154,0.0,0.0,5852,1.7679,0.0,0.0,24.70703125,45.2828242946,v1,12.5785623041,0,5
1094.33536904,0.238461538462,0.0,0.0,5980,1.7898,0.0,0.0,24.70703125,45.4971777001,v1,12.6381049167,0,5
1089.83468771,0.234615384615,0.0,0.0,5848,1.8126,0.0,0.0,24.7607421875,45.3100611141,v1,12.5861280873,0,5
1089.97488368,0.234615384615,0.0,0.0,5895,1.8351,0.0,0.0,24.7607421875,45.315889785,v1,12.5877471625,0,5
1085.78679078,0.234615384615,0.0,0.0,5808,1.8571,0.0,0.0,24.7607421875,45.1417691158,v1,12.53938031,0,5
1090.77124095,0.246153846154,0.0,0.0,5848,1.8795,0.0,0.0,24.7607421875,45.3489984732,v1,12.5969440203,0,5
1088.61522321,0.230769230769,0.0,0.176923076923,5985,1.9018,0.0,0.0,24.70703125,45.2593616716,v1,12.5720449088,0,5
1087.85231127,0.226923076923,0.0,0.0,5896,1.9247,0.0,0.0,24.7607421875,45.2276434791,v1,12.5632342997,0,5
1092.74258843,0.238461538462,0.0,0.15,5850,1.9483,0.0,0.0,24.70703125,45.4309575773,v1,12.6197104381,0,5
1091.20464913,0.230769230769,0.0,0.0,5969,1.9706,0.0,0.0,24.7607421875,45.3670174912,v1,12.6019493031,0,5
1093.46207342,0.25,0.0,0.0,5762,1.9929,0.0,0.0,24.7607421875,45.4608702874,v1,12.6280195243,0,5
1357.33959832,0.265384615385,0.0,0.0,7140,2.021593,0.0,0.0,24.814453125,56.4316229294,v2,15.6754508137,0,5
1361.80872858,0.257692307692,0.0,0.0,7056,2.045372,0.0,0.0,24.7607421875,56.6174277746,v2,15.7270632707,0,5
1357.69005069,0.246153846154,0.0,0.0,7056,2.068554,0.0,0.0,24.7607421875,56.446193046,v2,15.6794980683,0,5
1353.52312032,0.234615384615,0.0,0.0,7168,2.090788,0.0,0.0,24.70703125,56.2729522125,v2,15.6313756146,0,5
1349.47271968,0.265384615385,0.0,0.0,7155,2.11593,0.0,0.0,24.7607421875,56.1045561221,v2,15.5845989228,0,5
1359.4367434,0.261538461538,0.0,0.0,7080,2.14021,0.0,0.0,24.814453125,56.5188120901,v2,15.699670025,0,5
