time,cable_length,apparent_wind,airfoil_vel
0,400,31.1405883787163,27.8726041112953
0.2,400.367509944411,28.4625075795981,24.7792297759485
0.4,400.826761332583,26.9512140664983,23.0774631443031
0.6,401.285851958608,26.3596632310408,22.4103724388312
0.8,401.74475455012,26.13154476691,22.1513264362541
1,402.203431431793,26.0616366178644,22.0783929790924
1.2,402.661836704712,26.0638879607136,22.1026042430467
1.4,403.119916448068,26.1028608259242,22.1903789189561
1.6,403.577608377949,26.1652051096402,22.3323027037195
1.8,404.034841451056,26.2473741286577,22.5299656892327
2,404.491535682428,26.3502683908735,22.7902525743856
2.2,404.947602437439,26.4768349991643,23.1226462333877
2.4,405.402945534224,26.6281291339334,23.5347645923935
2.6,405.857463680594,26.8054054797486,24.0336448545065
2.8,406.311054715668,27.0138842906065,24.6284071143907
3,406.763622035455,27.2556214027237,25.3214565031731
3.2,407.21508372412,27.5231261415449,26.1002563229256
3.4,407.665384459054,27.811978054782,26.948769629734
3.6,408.114508817207,28.1157797829628,27.842363530974
3.8,408.562494019808,28.4162314875267,28.7389655296702
4,409.009439729301,28.6991616149614,29.5979077317194
4.2,409.455511632221,28.9519172260325,30.3806473044692
4.4,409.900937095733,29.1595347993546,31.0493162193509
4.6,410.345992954135,29.3056214747648,31.5688935097158
4.8,410.790986595273,29.3833920182214,31.9190407474812
5,411.236232702849,29.3882855065953,32.086733708714
5.2,411.682028878975,29.3189500908819,32.0675652389327
5.4,412.128633391344,29.1788278387206,31.8678716294029
5.6,412.57624814525,28.9763431260878,31.5050827024777
5.8,413.025009196909,28.7202161154104,31.0022439339789
6,413.474985563791,28.4283515611272,30.3954709762065
6.2,413.926185665404,28.1203607965639,29.7240024926263
6.4,414.378568924531,27.81036910997,29.0207552362241
6.6,414.832059336617,27.508552072677,28.3124359421319
6.8,415.286558684574,27.2302655893239,27.6278936121789
7,415.741957995801,26.9790550959668,26.9806893370555
7.2,416.198146092752,26.7575370316492,26.3804757547478
7.4,416.655015517854,26.5706230225155,25.8366490788096
7.6,417.11246626623,26.4152583470046,25.3484921856937
7.8,417.570407621553,26.2867438724417,24.9121378781401
8,418.028758766826,26.185003602151,24.5273433779343
8.2,418.487448651206,26.1073521905266,24.1904962512421
8.4,418.946415320512,26.0501405822839,23.8965726294516
8.6,419.405604963072,26.0083435264904,23.6389250482817
8.8,419.864970830844,25.9776324542181,23.4115559790359
9,420.324472145967,25.9566443467383,23.2115417716255
9.2,420.784073043692,25.9435248394818,23.0355748017369
9.4,421.243741555566,25.9364502093596,22.8805517827252
9.6,421.703448647363,25.9338726045817,22.743864834457
9.8,422.163167314583,25.9346035813748,22.6235163226935
10,422.622871733755,25.937187386925,22.5118549921703
10.2,423.082536622928,25.9398394790379,22.4204292012564
10.4,423.542136228812,25.9483455614117,22.3483657585577
10.6,424.001643410342,25.9590155951591,22.2886007510775
10.8,424.461029174475,25.9717239287093,22.2435826121568
11,424.920261938899,25.9874353845201,22.2159097679227
11.2,425.379306794315,26.0074359550728,22.2085230796992
11.4,425.838124780365,26.033229532319,22.2249089827111
11.6,426.296672180602,26.066566910593,22.2692497644289
11.8,426.754899852206,26.1093228271423,22.3463660136449
12,427.212752628831,26.1616933639791,22.459917709644
12.2,427.670168874366,26.226700578277,22.6170219109915
12.4,428.127080234252,26.3079657715801,22.8259591920992
12.6,428.583411713731,26.4089671734149,23.0953061669525
12.8,429.039082288299,26.5331534497674,23.4338042444442
13,429.494006303192,26.6837504647527,23.8497122101792
13.2,429.948096005671,26.8590366969604,24.3452655948058
13.4,430.401265682979,27.0607942489772,24.9242009811652
13.6,430.853437529605,27.2910581685992,25.5873598440542
13.8,431.304549324417,27.5470229462567,26.3263815274471
14,431.754563865707,27.8176249988209,27.1193872366589
14.2,432.203479349694,28.0977915627398,27.9455766187985
14.4,432.651338762141,28.3782760048731,28.77617134464
14.6,433.098236675449,28.6410067921412,29.5714519451219
14.8,433.544321781801,28.8747304336424,30.2988216443043
15,433.989793560507,29.0695021973471,30.9291738481421
15.2,434.434893074144,29.2148290060431,31.4359650924496
15.4,434.879888838169,29.3017583566629,31.797750011577
15.6,435.325059208378,29.3239566273523,31.9995247646309
15.8,435.770673258574,29.2785032068359,32.0339210434831
16,436.216972443143,29.1665698158049,31.9024179989089
16.2,436.66415541003,28.9938149188147,31.6160753656402
16.4,437.112367976881,28.7702000719115,31.1950887639161
16.6,437.561699396672,28.509062704512,30.6668232086622
16.8,438.012184787223,28.2251742841684,30.0622324238081
17,438.463812369015,27.9271881416528,29.4064554282064
17.2,438.916533418243,27.6310523357491,28.7310031135772
17.4,439.370273287208,27.3501224986742,28.0625699739543
17.6,439.824941666409,27.086524629728,27.4138802748031
17.8,440.280440927585,26.8485998353581,26.8013903868594
18,440.736672596215,26.641306218766,26.2356969413716
18.2,441.19354182125,26.460143356963,25.7158045081552
18.4,441.65096003817,26.3066925329288,25.2453221494452
18.6,442.108846457393,26.1811204430174,24.8251927794862
18.8,442.567128622862,26.0806664492065,24.4525079429717
19,443.025742291694,25.9987790795856,24.1199113579841
19.2,443.48463090985,25.9341556882218,23.8250282866451
19.4,443.943744917188,25.8850771200807,23.5648474243434
19.6,444.403040939064,25.8491064287729,23.3355391367844
19.8,444.862480928016,25.8237469042464,23.133219885832
20,445.322031311136,25.8067219168379,22.9543050945714
20.2,445.781662170406,25.7960837286327,22.7956679999896
20.4,446.241346467128,25.7902437737351,22.6547043872716
20.6,446.701059312485,25.7879672679528,22.529351333924
20.8,447.160777281235,25.7883527592235,22.4180843108116
